stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,0,0,0,0,0,0,1,6,3,0,0
 24-34,0,0,0,0,5.75,0,0,0,0,0,0,0,2.46,0,0,28.73,0,0,0,0,0,0,0,0,5.75,0,0
 36-46,0,0.81,0,0,8.06,0,0.81,0,0,0,0,0,0.81,0,0.81,20.95,0,0,1.61,0,0,0,0,0,3.22,0,0
 48-58,0,0.57,0,0,10.33,0.57,1.15,0.57,0,0,0,0.57,2.3,0.57,0.57,21.23,0,0.57,0.57,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,17.67,0,0.98,0,0,0,0,0,1.96,0,0.98,9.82,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,44.17,0,1.96,0,0,0,0,0,0.98,0,0,11.78,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,0,0,69.03,0,0,1.06,0,1.06,0,0,0,0,0,3.19,0,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,1.09,93.98,0,3.28,0,0,0,3.28,0,2.19,0,0,8.74,0,1.09,6.56,0,1.09,0,0,0,0,0,0
108-118,0,0.77,0,0,101.11,0,0.77,0,0.77,0,1.53,0,0.77,0.77,0,6.89,0,1.53,2.3,0,0.77,0,0,0,0,0,0
120,0,1.96,1.96,0,35.28,0,0,3.92,0,0,3.92,0,0,0,0,7.84,0,0,1.96,0,0,0,0,0,0,0,0
