stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,40.91,0,0,37.76,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,11,0,2,0,0,0,8,3,0,0,0,1,0,0,0,13,0,0,6,279,105,0,1,49,0,0,0,33,0,7,13,241,0,0,0,0,0
 24-34,0,0,1.64,0,7.39,1.64,0,26.27,0,0.82,1.64,4.93,0,0,0.82,0.82,0,0,0.82,0,18.88,0,0,3.28,632.06,18.06,4.1,1.64,0,0,4.1,0.82,0,2.46,2.46,11.49,162.53,0,0,3.28,0,1.64
 36-46,0,0,0.81,0,5.64,0,0,108.77,0,0,1.61,7.25,0,0,0.81,0,0,0,0.81,0,18.53,0,0.81,2.42,1164.19,1.61,8.06,0.81,0,0,4.03,0,0,0,0,0,194.97,0,0.81,3.22,0,2.42
 48-58,0,0,0.57,0.57,7.46,1.15,0,465.93,1.15,0,3.44,37.87,1.15,1.15,0.57,0.57,0.57,1.72,1.15,0,65.41,1.72,2.3,14.92,1799.45,0,5.74,0,0,0,8.61,0,0,0,0.57,0,218.62,0,0.57,4.59,0,9.75
 60-70,0,0,2.94,0,12.76,5.89,0,765.59,0,1.96,1.96,28.46,0,0.98,1.96,0,0.98,0.98,3.93,2.94,65.76,0,3.93,4.91,2789.49,0.98,6.87,1.96,0,0,10.8,0,0,0,0,0,179.62,0.98,0.98,4.91,0.98,4.91
 72-82,0,0,5.89,0,47.12,32.39,0,1329.17,1.96,1.96,8.83,126.63,5.89,2.94,7.85,4.91,10.8,1.96,2.94,1.96,223.82,4.91,7.85,15.71,3271.88,0,2.94,6.87,0,0.98,17.67,0,0,1.96,0,0,172.77,5.89,5.89,21.6,4.91,30.43
 84-94,0,0,3.19,0,58.41,16.99,0,877.24,2.12,2.12,4.25,87.09,6.37,4.25,10.62,3.19,4.25,0,4.25,1.06,84.96,3.19,5.31,10.62,1811.84,2.12,2.12,8.5,0,0,20.18,0,0,2.12,1.06,0,98.77,1.06,3.19,4.25,3.19,7.43
 96-106,1.09,0,4.37,0,67.76,33.88,0,923.46,6.56,8.74,7.65,122.4,7.65,4.37,10.93,5.46,4.37,2.19,9.84,1.09,109.28,1.09,6.56,10.93,1664.41,3.28,4.37,7.65,0,0,49.18,0,0,1.09,0,0,52.46,1.09,5.46,9.84,6.56,9.84
108-118,0,0,0.77,0,38.3,13.02,3.06,739.15,4.6,6.13,6.89,75.83,6.89,3.06,8.43,2.3,1.53,1.53,3.83,0,94.98,0.77,4.6,8.43,2262.65,2.3,2.3,11.49,0,0,16.09,0,0,0.77,0.77,0,45.19,2.3,1.53,9.19,3.06,5.36
120,0,0,0,0,50.95,21.56,0,662.41,0,9.8,11.76,88.19,5.88,3.92,15.68,1.96,1.96,1.96,0,0,78.39,1.96,0,21.56,2641.79,0,13.72,9.8,0,1.96,29.4,0,0,1.96,0,0,64.67,0,1.96,3.92,3.92,0
