stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,182.52,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0
 24-34,0,0,38.58,0.82,8.21,1.64,0,0.82,0,0,0,0,0,9.85,3.28,12.31,1.64,0,0,0,0,0,0,2.46,0.82
 36-46,0,0,19.34,0.81,4.83,1.61,0.81,0,0,0,0,0.81,0,15.31,4.83,26.59,0,1.61,0,0,0,0.81,0,0.81,0
 48-58,0,0,6.31,1.15,4.02,0.57,4.59,0,0,0,0,0,0,26.4,2.3,7.46,1.15,1.15,0,0,0,1.15,0,0,0
 60-70,0,0,3.93,0.98,3.93,0,31.41,0,0,0,0,0,0,53.98,0,4.91,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,2.94,3.93,0,0.98,40.25,0,0,0,0,0,0,47.12,0.98,8.83,0.98,1.96,0,0.98,0.98,0,0,0.98,0
 84-94,0,0,8.5,3.19,3.19,3.19,22.3,0,0,1.06,0,0,1.06,42.48,0,5.31,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,6.56,2.19,2.19,1.09,25.14,0,1.09,2.19,1.09,0,0,39.34,1.09,4.37,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,3.83,0.77,5.36,1.53,24.51,0,0,1.53,0,0,0,27.57,2.3,6.89,3.06,0.77,0,0,0,0,1.53,0,0.77
120,0,0,1.96,1.96,0,0,15.68,0,0,1.96,0,0,0,15.68,1.96,1.96,0,0,0,0,0,0,0,0,0
