stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vasculature
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,8,0,0
 24-34,3.28,1.64,0.82,0,1.64,0,0.82,0,0,0,7.39,0.82,0,0,1.64,0,5.75,3.28,0,0,3.28,0,0
 36-46,0,0.81,0,0,0,0.81,0,0,0,0,9.67,0,0,0,2.42,0,12.89,1.61,0,0,4.03,0,0
 48-58,0,0,1.15,0,5.74,0,0,0.57,0,0,3.44,0,0,0,0.57,0.57,25.82,0.57,0,1.15,3.44,0,0
 60-70,2.94,0,0,0,15.7,0,2.94,0,0,0,1.96,0.98,0,3.93,0.98,0,71.65,0.98,0.98,0.98,5.89,0,0
 72-82,1.96,0,0.98,0,17.67,0,0.98,0,0,0.98,6.87,0.98,0,2.94,0,1.96,89.33,5.89,0,0,2.94,0,0.98
 84-94,3.19,0,1.06,0,19.12,0,2.12,3.19,0,0,2.12,1.06,0,0,6.37,0,37.17,5.31,1.06,3.19,2.12,0,0
 96-106,3.28,0,2.19,0,16.39,0,2.19,0,1.09,0,2.19,3.28,0,2.19,3.28,0,52.46,1.09,8.74,1.09,3.28,0,1.09
108-118,3.06,0.77,2.3,0,22.98,0,2.3,1.53,0,0,6.89,2.3,0.77,0.77,0,0,50.55,1.53,2.3,1.53,1.53,0.77,0
120,1.96,0,1.96,0,5.88,0,1.96,0,0,0,3.92,3.92,0,1.96,0,0,52.91,0,0,0,0,0,0
