stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0.82,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,0,0.81,0.81,10.47,0,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0.57,0.57,0.57,0.57,0.57,0.57,0,0,0.57,0,0,0,0,0.57,0.57,0,5.16,0,0.57,0,0,1.15,0,0,3.44,0,0,0,0
 60-70,0,0,0,0.98,0,4.91,0,0,0,4.91,0,0,0,0,0,0,0,0,0.98,5.89,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0.98,0,4.91,0,0.98,0,22.58,0,0,0,0,0.98,0,0,4.91,0.98,24.54,0,0,0,0,1.96,0,0,0.98,0.98,0,0.98,0.98
 84-94,0,0,1.06,0,0,2.12,1.06,0,1.06,88.15,0,0,0,1.06,0,1.06,0,3.19,0,4.25,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,2.19,4.37,2.19,0,5.46,3.28,1.09,1.09,143.16,0,0,0,0,0,0,0,10.93,0,45.9,0,0,0,0,5.46,0,0,0,0,1.09,0,0
108-118,0,0,6.89,3.06,0.77,0.77,0.77,0,2.3,167.75,0,0,0,0.77,0,1.53,0,4.6,0.77,48.26,0,0,0,0,0.77,0.77,0,0.77,0,0.77,0,0
120,0,0,3.92,1.96,1.96,3.92,3.92,0,0,101.91,0,0,1.96,0,0,3.92,0,5.88,0,45.08,1.96,0,0,0,1.96,0,0,0,0,0,0,0
