stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,16.11,0,0,0,0,0,0,0,0,1.61,0,7.25,0,0,0,0,0,6.45,0,0,0
 48-58,0,0.57,0,0,159.52,0,0.57,0.57,0,0,0,0,0,3.44,0.57,10.33,0,0,0,0.57,0,2.87,0,0.57,0
 60-70,0,0,0,0,371.02,0,0,0.98,0,0,0,0,0,0.98,0,8.83,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,1.96,0,0,359.29,0,0,0,0,0,0,0,0,3.93,0,11.78,0,0,0,0,0,0,0,0,0
 84-94,0,5.31,0,0,369.59,0,0,2.12,0,1.06,1.06,1.06,1.06,4.25,1.06,9.56,0,1.06,1.06,0,0,2.12,0,0,0
 96-106,0,2.19,0,0,237.15,0,0,0,0,1.09,0,0,0,2.19,1.09,7.65,1.09,1.09,0,0,0,1.09,0,0,0
108-118,0,0.77,0.77,0.77,184.6,0,0,0.77,0.77,0,0,0.77,0,0,0.77,16.09,0,0,0,0,0,0,0,0,1.53
120,0,3.92,0,0,178.34,1.96,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
