stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.19,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,5,3,0,0,0,0,0,24,0,2,0,0,0,52,0,0,13,34,1,0,0,0,0,3,3,0,425,426,8,0,0,0,0,0
 24-34,0,0,0,4.1,29.55,5.75,126.41,0.82,0,0,0.82,9.85,0,1.64,0,0.82,0,11.49,0.82,0,46.79,128.87,0,2.46,0,0,0,6.57,0.82,0,246.26,467.07,31.19,0,0,2.46,0,0.82
 36-46,0,0,0,0.81,5.64,4.03,106.35,0.81,0.81,0.81,0,5.64,0,0,0,0,0.81,5.64,0,0.81,16.11,58.81,0,0,0,0,0,2.42,0,0,129.71,28.2,22.56,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,1.15,5.16,36.15,0,1.15,0,0,4.02,0,0,0.57,0,0.57,6.31,0.57,0,14.35,52.79,0,0.57,0,0,0.57,1.72,0,0,68.28,0,26.97,0,1.72,0,0,0
 60-70,0,0,0,0,0,0.98,30.43,0,0.98,0,0,1.96,0,0,0,0,0,7.85,0,0.98,15.7,16.69,0,0,0.98,0,1.96,0.98,0,0,34.35,0,8.83,0,0,0,0,0
 72-82,0,0,0,0,0.98,4.91,54.97,0,0,2.94,0,1.96,0,0,0,0,0,12.76,0,0,8.83,30.43,0,4.91,0,0,0.98,0,0,0,8.83,0,15.71,0,0.98,0,0,0
 84-94,0,0,0,1.06,1.06,4.25,55.23,0,0,1.06,0,2.12,1.06,0,0,0,0,11.68,0,1.06,11.68,16.99,0,1.06,1.06,0,2.12,0,0,0,20.18,0,6.37,2.12,1.06,0,0,0
 96-106,0,0,0,0,1.09,3.28,60.11,2.19,0,2.19,0,0,0,0,0,0,0,5.46,0,0,6.56,8.74,0,0,0,2.19,0,1.09,0,0,8.74,0,6.56,0,0,0,4.37,0
108-118,0,0,0,0,0,0.77,46.72,0.77,0,0,0,1.53,0,0,0,0.77,0,3.83,0,0.77,8.43,8.43,0,1.53,0,0,0.77,0,0,0,12.26,0,3.06,0,0,0,1.53,0
120,0,0,0,0,0,5.88,39.2,0,0,0,0,0,0,0,0,1.96,0,5.88,0,0,9.8,11.76,0,0,1.96,0,0,1.96,0,0,1.96,0,3.92,5.88,0,1.96,1.96,0
