stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,52.71,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,539.41,0,0,0,0,0,0,0,0,0,24.52,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,15.77,0,0,7.89,0,0,0,168.24,2.63,0,57.83,0,0,0,0,0,0,0
 10-12,3.15,3.15,6.29,0,12.59,0,0,0,0,0,0,116.44,9.44,0,50.35,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,2,2,9,0,0,0,0,1,0,3,2,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0.82,8.21,0,0,0,0,0,0,0,9.03,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,0,0,1.72,0,2.3,0,0,0,0,0,0,0,1.15,0.57,0
 60-70,0,0,0,0.98,1.96,0.98,0.98,0,0.98,2.94,0.98,0.98,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,0,0,4.91,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0,0,0,1.53,0,0.77,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,1.96,5.88,0,0,0,0,0,0,0,0,0,0
