stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,1.64,0,0.82,0,0,0,0
 36-46,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,1.15,0,0,0.57,0,0,0
 60-70,0,0,0,37.3,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,1.96,0,366.16,0.98,0.98,0,3.93,0.98,0,0,0,0,0,3.93,0,0.98,9.82,0,0.98,0.98,0,0,0.98,0.98,0,0
 84-94,0,8.5,0,377.02,0,0,0,1.06,0,0,1.06,0,0,0,1.06,0,0,4.25,0,0,3.19,0,0,1.06,0,0,0
 96-106,0,6.56,3.28,499.43,1.09,1.09,1.09,3.28,1.09,1.09,1.09,0,0,0,4.37,0,0,18.58,1.09,0,5.46,1.09,0,2.19,0,1.09,1.09
108-118,0.77,6.89,1.53,417.45,0,2.3,0,1.53,0.77,0,0,0.77,1.53,0.77,6.89,0.77,3.06,26.81,0.77,1.53,2.3,0,0,0.77,0,1.53,0
120,0,15.68,1.96,587.94,0,1.96,0,7.84,1.96,0,1.96,0,0,0,15.68,0,0,25.48,0,1.96,5.88,0,0,0,0,1.96,1.96
