stage,blastomeres,glial,gut,heart,immune,iridophores,mesenchyme,neural,periderm,pronephros,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,2.42,0,1.61,0
 48-58,0,0,0,0,0,0,0,0,0,2.87,0
 60-70,0,1.96,0.98,0,0,0.98,0.98,0,0.98,4.91,0
 72-82,0,0,0.98,0,0,0,0,0.98,0,2.94,0
 84-94,0,0,0,0,1.06,0,1.06,1.06,0,1.06,0
 96-106,0,1.09,1.09,0,0,0,0,0,0,1.09,0
108-118,0,1.53,0,0,1.53,0,0,0,0.77,0,0.77
