stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,382.16,9185.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.58,0,0,0,0,0,0,0,0,0,0,0
  5-6,1029.78,12387.99,24.52,0,0,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0,0,0,373.91,30.65,0,0,122.59,0,245.19,0,0,0,0,0,0,0,0,0,0,0
  7-9,194.52,181.38,407.45,0,5.26,0,591.46,0,0,0,0,0,281.27,0,0,0,0,0,0,0,0,0,0,6324.68,194.52,0,0,2476.25,0,39.43,60.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,122.73,245.46,0,34.62,0,437.43,0,0,0,0,0,135.32,0,0,0,0,0,3.15,0,0,0,0,4037.56,91.26,0,0,1447.61,0,15.73,44.06,15.73,138.47,0,9.44,12.59,0,0,0,0,0
 14-21,0,1,18,137,25,0,77,0,0,0,16,6,0,0,3,6,0,0,0,81,0,0,93,1136,77,7,8,38,0,42,2,123,5,0,109,370,0,0,4,0,0
 24-34,0,0,4.1,53.36,13.95,0,295.51,0,0,0,28.73,5.75,0,2.46,1.64,2.46,0.82,4.1,1.64,203.57,0.82,0.82,84.55,1965.13,21.34,18.88,15.6,0,0,135.44,0.82,0.82,3.28,0.82,9.85,477.74,0,0,21.34,0,2.46
 36-46,0,0,0,18.53,8.86,0,563.16,0,1.61,0,34.64,1.61,0,1.61,4.83,1.61,1.61,0.81,1.61,161.94,0.81,4.83,54.79,1238.31,1.61,10.47,4.03,0,0,45.12,0,0.81,0.81,0,0,317.43,0,0,19.34,0,2.42
 48-58,0,0,0,25.82,5.74,0,685.7,0,0.57,0,31.56,1.15,0,3.44,1.15,0,2.3,1.72,2.3,161.24,0,5.16,35.58,580.12,5.74,2.87,4.02,0,0,24.67,0,0,0.57,0,0,119.35,0,0,9.18,0,2.3
 60-70,0,0,0,30.43,0.98,0,484.87,0.98,4.91,2.94,40.24,5.89,0,1.96,3.93,0,2.94,2.94,0,128.58,0.98,7.85,21.59,314.09,1.96,2.94,7.85,0,0,20.61,0,0,1.96,0,0,16.69,0,0,10.8,0,0.98
 72-82,0,0,0,27.49,1.96,0,197.31,1.96,0,1.96,57.92,6.87,0,2.94,3.93,0.98,3.93,0.98,0.98,142.34,1.96,8.83,18.65,244.43,0.98,3.93,4.91,0,0,16.69,0,0,0.98,0,0,6.87,0,0,10.8,0,0
 84-94,0,0,0,27.61,8.5,1.06,159.31,0,1.06,0,25.49,12.74,0,2.12,7.43,1.06,3.19,1.06,2.12,121.07,1.06,18.05,25.49,183.73,3.19,6.37,5.31,0,0,31.86,0,0,4.25,0,0,4.25,2.12,0,23.36,2.12,0
 96-106,0,0,1.09,28.41,12.02,1.09,138.79,1.09,1.09,1.09,32.79,12.02,0,4.37,13.11,0,1.09,1.09,1.09,73.22,0,6.56,16.39,154.09,1.09,3.28,5.46,0,1.09,37.16,0,0,3.28,0,0,1.09,4.37,0,18.58,0,0
108-118,0,0,0,15.32,9.19,2.3,111.06,0,0.77,0,33.7,7.66,0,0.77,15.32,2.3,3.83,0.77,6.13,62.04,0,9.19,18.38,218.3,2.3,4.6,4.6,0,0,37.53,0.77,0,0.77,0,0,1.53,2.3,0.77,9.96,1.53,1.53
120,0,0,0,5.88,15.68,1.96,131.31,0,0,0,35.28,0,0,0,15.68,0,1.96,0,0,48.99,0,1.96,15.68,170.5,0,3.92,1.96,0,1.96,21.56,0,0,0,0,0,3.92,1.96,0,15.68,0,0
