stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0.82,8.21,0,0,3.28,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,1.61,0.81,0,0.81,0,0,5.64,0,0,4.83,0,0.81,2.42,0
 48-58,0,0.57,0.57,0,0,0,0.57,0,0.57,0.57,0.57,0.57,2.3,0,0,8.61,0,0.57,1.72,0,0,1.15,0.57
 60-70,0,3.93,0,0,0,0,0,0,0,0,0,0,0.98,0,0,20.61,0,0,1.96,0,1.96,0,0
 72-82,0,11.78,0,0,0,0.98,0,0,0,0,0,0,4.91,0.98,0,19.63,0,0,0,0,0,0,0
 84-94,0,2.12,0,0,0,1.06,2.12,0,0,0,0,0,2.12,0,0,13.81,0,1.06,3.19,0,1.06,3.19,0
 96-106,3.28,4.37,0,1.09,1.09,1.09,0,0,1.09,2.19,0,0,0,0,0,7.65,1.09,0,2.19,0,1.09,1.09,0
108-118,1.53,0.77,0.77,0.77,0,0.77,1.53,0,0,0,0.77,0.77,3.06,0,1.53,5.36,0.77,0.77,3.06,0,0,1.53,0
120,0,7.84,0,0,0,0,1.96,0,0,0,0,0,5.88,0,0,5.88,0,0,0,1.96,0,0,0
