stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,13.14,0,5.26,0,0,23.66,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,144.58,7.89,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,12.59,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,295.82,37.76,0,0,138.47,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,5,35,47,12,0,0,0,11,2,1,2,0,0,0,0,32,15,50,0,0,33,347,41,0,2,4,0,0,0,25,3,16,169,0,0,30,0,8
 24-34,0,0,0,2.46,13.13,31.19,68.95,0,0,1.64,27.91,2.46,0.82,4.93,0,0,0.82,0,19.7,77.16,106.71,0,0,58.28,675.56,18.06,4.1,8.21,0,0,3.28,0,0.82,13.95,4.1,239.69,0,0,82.91,0,40.22
 36-46,0,0,0,0,2.42,6.45,70.09,0,0.81,4.03,22.56,0,0,1.61,0,0.81,7.25,0,3.22,79.76,93.46,0,3.22,32.23,485.01,7.25,0.81,0.81,0,0,0.81,0,0,8.06,0,223.17,0,0,25.78,0.81,36.26
 48-58,0,0,0,0,2.87,16.07,120.5,0,0.57,6.31,21.8,0,0,0,1.15,0,18.36,0.57,2.3,65.41,86.07,0.57,2.3,18.94,258.21,6.31,0.57,2.87,0,0,0.57,0,0,3.44,0,98.12,0,2.3,12.05,0,51.64
 60-70,0,0,0.98,0,4.91,23.56,341.57,0,0.98,4.91,34.35,0,0,0.98,7.85,0,32.39,0.98,1.96,27.48,86.37,0,0.98,14.72,355.31,3.93,1.96,3.93,0,0.98,0.98,0,0,4.91,0,64.78,0,1.96,14.72,1.96,31.41
 72-82,0,0,0,0,9.82,69.7,619.43,0.98,0,12.76,57.92,1.96,0,0,5.89,0,40.25,1.96,0.98,37.3,141.36,0,0.98,10.8,309.22,3.93,1.96,2.94,0,0.98,0.98,0,0,19.63,0,32.39,0,5.89,23.56,3.93,24.54
 84-94,0,0,0,0,13.81,71.16,480.04,1.06,1.06,9.56,41.42,1.06,0,0,18.05,1.06,74.34,0,3.19,63.72,81.78,0,4.25,7.43,185.86,12.74,1.06,5.31,0,4.25,1.06,0,0,49.92,0,22.3,0,2.12,20.18,9.56,27.61
 96-106,0,0,0,0,18.58,56.83,473.2,1.09,0,5.46,40.44,5.46,0,3.28,14.21,0,68.85,3.28,0,53.55,101.63,0,4.37,6.56,178.13,6.56,1.09,5.46,0,1.09,6.56,0,0,39.34,0,16.39,2.19,2.19,26.23,4.37,30.6
108-118,0,0,0,0,14.55,43.66,418.98,0.77,0.77,7.66,35.23,2.3,0,0.77,13.02,2.3,90.38,3.06,2.3,53.62,101.11,0,1.53,4.6,212.94,13.79,1.53,5.36,0,0.77,0.77,0,0,37.53,0,10.72,1.53,2.3,21.45,2.3,33.7
120,0,0,0,0,15.68,25.48,246.93,0,0,9.8,41.16,9.8,0,0,3.92,0,45.08,1.96,5.88,17.64,74.47,0,9.8,17.64,172.46,11.76,1.96,3.92,0,1.96,0,0,0,35.28,0,15.68,1.96,0,19.6,3.92,23.52
