stage,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,2,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,3,0,1,1,1,0
 24-34,0.82,0,3.28,0,0,0,0,0,0,0,0,0.82,0,0,16.42,0,0.82,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,12.09,0,0,1.61,0,0,0,0.81,0,0
 48-58,0.57,0,4.02,1.72,0,0,0.57,0,0,0.57,0,1.72,0,0.57,8.61,0,0,0.57,0,0.57,0,0.57,0.57,0
 60-70,0,0,13.74,1.96,0.98,0,4.91,0,0,0,0,2.94,0.98,0,10.8,0,1.96,0.98,0,0.98,0,0.98,0,0
 72-82,0,0,6.87,0.98,0,0,4.91,0,0,0,0,0.98,0,0,8.83,0.98,0.98,0.98,0,0,0,1.96,0.98,0
 84-94,0,0,6.37,0,0,0,1.06,0,1.06,0,0,1.06,0,0,5.31,1.06,0,0,0,0,0,1.06,1.06,0
 96-106,1.09,0,3.28,0,1.09,1.09,2.19,0,0,0,0,0,0,0,2.19,0,0,2.19,0,0,0,0,0,0
108-118,0.77,0.77,6.89,0,0,0,0.77,0,0,0,0,0,0,0.77,7.66,0,0.77,2.3,0,0,0,0,0,0
120,0,0,3.92,0,0,0,3.92,1.96,1.96,0,0,3.92,0,0,7.84,0,0,1.96,0,0,0,0,0,1.96
