stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,7.89,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,68.35,7.89,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,12,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,3,89,0,2,1,0,0,1,15,0,14,27,0,0,2,0,1
 24-34,0,0,0,0.82,2.46,2.46,12.31,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,7.39,0,0,3.28,130.52,0,0.82,2.46,0,0,3.28,0,0.82,2.46,35.3,0,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,18.53,0,0,0,8.86,0,0,0.81,0.81,0.81,0.81,0,0,0.81,10.47,0,0,0,99.9,0,0.81,0.81,0,0,3.22,0,0.81,0,18.53,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.15,0,34.43,1.15,0.57,0.57,6.89,0,0.57,0,0.57,0,0.57,0.57,0.57,0,12.05,0.57,0.57,1.15,61.97,0,0,0,0,0,2.3,0,0.57,0,18.36,0,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,44.17,0,0,0,9.82,0,0,0,0.98,0,0,0,0,0.98,7.85,1.96,0.98,1.96,70.67,0,0,0.98,0,0,2.94,0,0,0,5.89,0,0,4.91,0,0
 72-82,0,0,0,0,0.98,0,60.86,0.98,0,0,6.87,0,0,0,0,0.98,0,0,0.98,0,12.76,0,0,2.94,61.84,0,0.98,0.98,0,0,3.93,0,0,0,2.94,0,0,0.98,1.96,0
 84-94,0,0,0,0,2.12,0,43.54,0,0,1.06,1.06,2.12,0,0,1.06,1.06,0,0,1.06,0,14.87,0,0,3.19,33.99,0,0,2.12,0,0,9.56,0,0,0,3.19,1.06,1.06,2.12,1.06,1.06
 96-106,0,0,1.09,0,2.19,0,31.69,0,1.09,0,7.65,3.28,0,0,2.19,1.09,0,0,0,1.09,12.02,0,0,1.09,19.67,0,2.19,0,0,1.09,3.28,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0.77,2.3,0,26.04,0,0,0.77,4.6,1.53,0,0,1.53,0.77,2.3,0.77,2.3,0,9.19,0,0,0.77,33.7,0,0,0.77,0,0.77,3.83,0,1.53,0,0,0,0,2.3,0.77,0.77
120,0,0,0,0,3.92,1.96,15.68,0,0,0,0,3.92,0,0,0,0,0,0,0,0,5.88,1.96,1.96,3.92,29.4,0,0,0,0,0,3.92,0,1.96,0,1.96,0,0,0,0,0
