stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,65.89,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,208.41,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,18.4,5.26,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,12.09,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,1.72,1.15,0,0.57,0,35.58,0,0,0,0,0,0,2.3,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,1.96,0,67.73,0,0,0.98,0,0,0,2.94,0,0,0
 72-82,0,0,0.98,0,11.78,0.98,0,1.96,0,68.72,0,0,0,0,1.96,0.98,8.83,0.98,0,0
 84-94,0,0,1.06,0,6.37,0,0,0,0,23.36,0,0,0,0,0,0,3.19,0,0,0
 96-106,0,0,1.09,0,2.19,3.28,0,1.09,1.09,22.95,0,1.09,1.09,0,0,0,2.19,0,0,1.09
108-118,0,0,1.53,0,2.3,0,0,0,0,26.81,0,0,0.77,0,0,0,0,0.77,0,0.77
120,0,0,1.96,0,3.92,3.92,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0
