stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,96,1,0,0,0,13,0,0,0,0,0,0,0,0,5,0,10,13,2,0,0,0,0,1,0,0,40,0,0,31,0,0
 24-34,0,0,0.82,10.67,0,0,0,0.82,16.42,0,0.82,0.82,0.82,0,0,0,0,19.7,0,32.83,22.16,1.64,0,0,0,0,0,1.64,0.82,38.58,0,0,54.18,0,0
 36-46,0,0,0,0,3.22,0,0,0.81,8.86,0,0,0,0,0,0,0,0.81,21.75,0,24.98,25.78,0.81,0,0,0,0,0,0,0,17.72,0,0,9.67,0,0
 48-58,0,0,0,0,4.02,0,0,6.89,36.15,0,0,0,0,0,0,0,0,30.99,1.15,15.49,34.43,0,0,0,0,0,0,1.15,0,29.26,0,0.57,5.16,0,0
 60-70,0,0,0.98,0,4.91,0,0,3.93,155.08,0,2.94,0,0.98,0,0,0,0,86.37,7.85,20.61,44.17,2.94,0,0,0,0.98,0,0,0,43.19,0,1.96,3.93,0.98,0
 72-82,0,0,2.94,0,25.52,0,1.96,10.8,441.75,0,0.98,0.98,0,0,0,0.98,0,159.03,15.71,29.45,54.97,0,0.98,0,1.96,1.96,0,0,0,49.08,0.98,6.87,14.72,8.83,0.98
 84-94,0,0,2.12,1.06,22.3,0,0,7.43,258.08,0,4.25,0,0,0,1.06,1.06,0,87.09,25.49,14.87,20.18,0,1.06,1.06,1.06,0,0,3.19,0,43.54,0,4.25,13.81,6.37,0
 96-106,0,0,7.65,1.09,26.23,1.09,0,6.56,296.16,1.09,3.28,0,0,1.09,0,0,0,74.31,16.39,10.93,31.69,1.09,0,1.09,3.28,2.19,0,0,0,44.81,0,5.46,6.56,8.74,0
108-118,0,0,0.77,0.77,8.43,0,0.77,11.49,277.28,0,0,0.77,0,0,0,0,0,75.83,20.68,10.72,34.47,1.53,0.77,0,2.3,0.77,0,4.6,0,21.45,0,2.3,12.26,3.06,0
120,0,0,3.92,3.92,11.76,0,0,3.92,235.17,0,0,1.96,0,0,0,0,0,56.83,25.48,7.84,31.36,0,0,0,3.92,0,0,0,0,9.8,0,5.88,9.8,3.92,0
