stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,18.88,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,4,0,0,1,0,2,0,1,0,0,0,0,1
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,3.28,0,0,0.82,1.64,1.64,0,0,0.82,6.57,0,0,0,0,0,4.1,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,1.61,0,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,3.44,0,0,0,0,1.15,0,0,0,0.57,1.15,0,0,6.89,2.87,0,0,0.57,3.44,0,0,0,0,0,1.15,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0,0,10.8,0,0,0.98,3.93,4.91,0,0,0,0,16.69,0,0,3.93,2.94,0.98,0,0,2.94,0,1.96,0,0,0,1.96,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,0,20.61,0,0.98,0,1.96,6.87,0,0,0,0,24.54,0,1.96,5.89,3.93,0,0.98,0.98,8.83,0,1.96,0,0,0,4.91,0,0,0,0.98,0.98,5.89
 84-94,0,1.06,0,0,0,0,19.12,0,0,0,4.25,10.62,0,1.06,1.06,3.19,12.74,0,0,14.87,2.12,0,1.06,0,4.25,0,1.06,0,1.06,0,18.05,0,1.06,1.06,1.06,0,1.06
 96-106,0,0,0,1.09,4.37,0,19.67,0,1.09,0,1.09,25.14,0,1.09,0,0,5.46,2.19,0,6.56,1.09,1.09,0,1.09,12.02,0,2.19,0,0,0,17.49,0,0,0,2.19,0,2.19
108-118,0,0,0,0,1.53,0.77,15.32,0,0,1.53,0,16.85,0,0,0,1.53,8.43,0,0.77,19.15,3.83,0,0,0,6.13,0,0,0,0.77,0,16.85,0,0,0,0.77,0,6.13
120,0,0,0,3.92,1.96,0,3.92,0,0,1.96,1.96,39.2,0,1.96,0,1.96,7.84,0,3.92,9.8,1.96,0,0,5.88,9.8,0,0,0,0,0,19.6,0,0,0,3.92,0,1.96
