stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,31.19,137.08,0,0.82,0,0,2.46,0.82,0,0,2.46,0,0,2.46,0,0.82
 36-46,0,0,0,0,2.42,0,0,20.95,0.81,0,1.61,4.03,0,0,0,0,0,0,0,0,0,7.25,0,0,4.83,72.51,251.37,0,0.81,0,0,3.22,0,0,0,20.14,0,0,1.61,0,0.81
 48-58,1.72,0,0,0,3.44,1.15,0,52.22,0.57,0,2.3,16.64,0,0,0,0,0,0,0,0.57,0.57,29.26,0,0,2.3,133.7,234.11,1.15,0.57,0,0,2.3,0,0.57,0,30.99,0,0,2.87,0,2.3
 60-70,2.94,0,0,0,2.94,0.98,0,49.08,0,0.98,0,12.76,0,0,0,0.98,0,0.98,0,0,0.98,23.56,0.98,0,0.98,101.1,167.84,3.93,0.98,0,0,7.85,0,0,0,10.8,0,0,0.98,0,1.96
 72-82,0,0,0,0,7.85,3.93,0,66.75,1.96,0,0,20.61,0.98,0.98,0.98,0.98,0.98,2.94,0,0,1.96,41.23,0.98,0,3.93,102.09,115.84,3.93,1.96,0,0,4.91,0,0,0,4.91,1.96,0.98,3.93,0,2.94
 84-94,1.06,0,0,0,7.43,9.56,0,31.86,0,2.12,1.06,9.56,2.12,0,0,2.12,1.06,0,1.06,0,0,23.36,1.06,1.06,2.12,47.79,174.17,2.12,0,0,0,12.74,1.06,0,0,2.12,0,0,2.12,1.06,2.12
 96-106,2.19,0,0,0,24.04,15.3,0,37.16,2.19,2.19,5.46,17.49,4.37,0,2.19,8.74,3.28,0,4.37,5.46,0,41.53,2.19,4.37,3.28,87.43,136.61,3.28,1.09,0,0,28.41,2.19,1.09,0,4.37,2.19,2.19,9.84,3.28,1.09
108-118,3.83,0,1.53,0,11.49,6.89,6.13,41.36,0,6.89,3.06,18.38,1.53,0,0.77,3.83,1.53,2.3,1.53,5.36,0.77,55.92,2.3,1.53,5.36,139.41,163.92,3.83,0.77,0,0.77,13.79,0,0,0,3.83,0,5.36,5.36,0,1.53
120,7.84,0,0,0,25.48,11.76,0,29.4,0,0,3.92,9.8,7.84,0,1.96,7.84,0,3.92,1.96,0,1.96,37.24,0,1.96,13.72,101.91,295.93,0,5.88,0,0,11.76,0,0,0,1.96,0,0,0,0,1.96
