stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,27,1,0,9,0,0,3,2,0,0,0,1,0,0,0,7,0,0,7,70,0,1,0,1,0,11,1,1,20,20,0,0,1,0
 24-34,0,0,0,0,4.1,1.64,0,8.21,0,0,2.46,1.64,0,0.82,0,0.82,0,0.82,0,13.95,0,0,7.39,59.92,0,0.82,0.82,0,15.6,0,0.82,0,2.46,24.63,0,0,0.82,1.64
 36-46,0,0,0,0,1.61,0,0,11.28,0.81,0,1.61,0,0,0.81,0,0,0,0,0,6.45,0,0,0.81,39.48,0,0.81,0.81,0,10.47,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,40.17,0,0,3.44,0,0,0.57,1.72,0,0,0,0,18.36,0,1.15,3.44,57.95,0,1.15,0.57,0,2.87,0,0.57,0,0,6.31,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,23.56,0,0,3.93,0,0,0,0.98,0,0,0,0,3.93,0,0.98,0,48.09,0,0,0.98,0,2.94,0,0,0,0,6.87,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,31.41,0,2.94,6.87,0,0,0.98,1.96,0,0,0,0,15.71,0,0,2.94,48.1,0,0.98,0,0,2.94,0,0,0,0,7.85,0,1.96,2.94,0
 84-94,0,0,0,0,2.12,0,0,14.87,0,0,1.06,1.06,0,0,2.12,0,0,0,1.06,9.56,0,1.06,1.06,24.43,0,0,0,0,3.19,0,0,0,0,3.19,0,1.06,0,1.06
 96-106,0,0,0,0,5.46,3.28,0,19.67,1.09,0,2.19,0,0,0,3.28,0,0,0,0,14.21,1.09,0,1.09,19.67,1.09,0,0,0,8.74,0,0,1.09,0,1.09,1.09,0,1.09,1.09
108-118,0,0,0.77,0,1.53,1.53,0,16.09,0.77,0.77,4.6,0.77,0,0,3.83,0,1.53,0,2.3,4.6,0,0,0,36.77,0,0.77,0,0,1.53,0,0,0,0,2.3,0.77,0,1.53,0.77
120,0,0,0,0,9.8,3.92,1.96,13.72,0,0,9.8,0,0,0,1.96,0,0,0,0,3.92,0,0,1.96,17.64,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0
