stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,0,1,0,0,0,1,0,0,0,0,12,1,0,0,1,7,0,0,0,2,0,1,0,0,0,0
 24-34,0,0,1.64,0,17.24,0.82,2.46,0,0,0,0,0,0,0,0,33.66,0.82,0,0.82,4.1,20.52,0.82,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,4.03,0.81,4.83,0,0,0,0,3.22,0,0,0,14.5,3.22,0.81,0,4.03,9.67,0,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0,0,14.35,1.15,19.51,0,0,0,0.57,4.02,0.57,0,0,6.31,4.02,0.57,1.72,5.74,8.61,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,31.41,1.96,23.56,0,0.98,0,0,4.91,0,0,0,16.69,47.11,0,1.96,2.94,10.8,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,41.23,2.94,17.67,0.98,1.96,3.93,0,7.85,0.98,0,0,11.78,45.16,6.87,0.98,9.82,0.98,0,0,0,0,0,0,4.91,0.98,0,0.98
 84-94,0,0,2.12,0,91.34,6.37,84.96,0,1.06,0,0,10.62,2.12,2.12,0,5.31,28.68,4.25,2.12,5.31,3.19,0,0,0,0,0,0,21.24,0,1.06,1.06
 96-106,0,0,1.09,0,132.23,5.46,37.16,1.09,0,14.21,0,9.84,2.19,0,1.09,5.46,28.41,7.65,2.19,7.65,1.09,0,0,0,2.19,0,1.09,26.23,0,1.09,0
108-118,0.77,0,0,0,121.79,2.3,114.13,0.77,0,26.04,0,3.06,1.53,0,0.77,4.6,38.3,6.89,0,6.13,0,0.77,0,0,2.3,0.77,0.77,52.09,0,0,0
120,0,0,0,0,76.43,0,56.83,0,0,9.8,0,3.92,0,0,1.96,3.92,25.48,7.84,0,5.88,0,1.96,1.96,0,0,0,0,5.88,0,0,0
