stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,263.57,6.13,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,6.13,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,15.77,0,0,0,0,0,7.89,0,0,0,110.41,10.51,0,0,34.17,0,0,0,0,0,0
 10-12,0,12.59,12.59,0,0,18.88,0,0,0,0,0,3.15,0,0,0,81.82,3.15,0,0,18.88,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0.82,0,0.82,0,0,0,2.46,0,10.67,0,0,0,0,1.64,0,0,0.82,2.46,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0.81,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,1.72,1.15,0,0,0,0.57,0,0,0.57,0,1.15,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,2.94,0.98,0,0.98,1.96,0.98,0,0,2.94,0,8.83,0,0,0.98,0,0,0,0,2.94,0,0
 72-82,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0.98,0,3.93,0,0.98,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,1.06,1.06,0,1.06,0,0,0,0,1.06,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,3.92,0,3.92,0,0,0,0,0,0,0,0,0,0
