stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,lateral.line,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,63.09,5.26,0,0,26.29,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,34.62,0,0,0,22.03,0,0,0,3.15,0,0,0
 14-21,0,0,0,3,0,0,1,1,0,0,1,0,4,0,0,1,1,0,2,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0.82,0,0,1.64,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0,2.87,0,0.57,0,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0.98,0,1.96,0,0,0,0,0.98,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,0.98,0.98,3.93,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,1.06,0,1.06,2.12,0,2.12,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0,0,0,0.77,0,0,0,0,0,0,1.53,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
