stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,1,0,3,0,0,0,1,0,0,0,0,0,1,0,3,21,0,0,0,0,0,0,0,9,4,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,4.1,0,1.64,0,0.82,0,0,0,0,0,2.46,0,3.28,28.73,0,0,0,0,0.82,0.82,3.28,0,9.03,0,4.93,0,0
 36-46,0,0,0,0.81,0,0,11.28,1.61,1.61,0.81,3.22,0,0,0,0,0,9.67,0,2.42,30.62,0.81,0,0.81,0,0.81,0,0.81,0,11.28,0,1.61,0,0.81
 48-58,0,0,0,3.44,0,0,5.74,1.72,1.15,1.72,3.44,0,0,0.57,0,0.57,8.61,0,1.72,5.16,0,0,1.15,0,1.15,0,1.15,0,5.74,0,1.15,0,0
 60-70,0,0,0,3.93,0,0,7.85,0.98,0.98,0.98,5.89,0,0,0,0,0,18.65,0.98,1.96,12.76,0,0,0,0.98,0.98,0,0.98,0,1.96,0.98,0.98,0,0
 72-82,0,0,0,1.96,1.96,0,5.89,0,1.96,0,5.89,0,0,0,0,0,19.63,0,0,7.85,0,0.98,0.98,0,1.96,0,0,0,1.96,0.98,0.98,0.98,0
 84-94,0,0,0,4.25,2.12,0,2.12,0,0,1.06,4.25,0,1.06,2.12,0,0,8.5,0,0,5.31,0,0,1.06,0,6.37,1.06,2.12,0,0,0,3.19,0,0
 96-106,0,0,0,7.65,1.09,0,3.28,0,0,0,6.56,1.09,0,1.09,0,0,6.56,0,1.09,2.19,0,1.09,0,0,13.11,0,1.09,0,1.09,0,2.19,1.09,0
108-118,0,0,0,1.53,0.77,0.77,1.53,1.53,1.53,0,3.06,0,0,0.77,0.77,0,9.96,0.77,1.53,4.6,0,0,0.77,0,1.53,0,1.53,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,0,0,3.92,1.96,0,0,0,0,7.84,1.96,1.96,3.92,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
