stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,7.89,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,81.49,26.29,0,346.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,84.97,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.67,53.5,0,745.83,0,6.29,0,81.82,0,3.15,0,0,0,0,0
 14-21,0,0,5,47,9,0,3,0,1,0,12,7,0,0,0,0,0,1,0,0,16,0,0,34,44,40,0,9,0,2,67,2,3,33,196,0,7,0,0
 24-34,0,0,0,19.7,0,0,2.46,0,0.82,0.82,14.78,1.64,0,0,0,0,0,4.1,0,0.82,45.97,0,0,41.04,61.56,2.46,0,0,0,18.06,0,0,0,8.21,202.75,0,8.21,0,0
 36-46,0,0,0,7.25,0,0,0.81,0.81,3.22,0,11.28,0,0,0,0,0,0,1.61,0,0,48.34,0,0,27.39,58.81,4.03,0,0,0,11.28,0,0,0.81,0,238.48,0.81,1.61,0,0.81
 48-58,0,0,0,5.74,0,0,6.31,0,6.89,1.15,8.03,0,0,0.57,0,0,0,1.15,0,0.57,65.99,0.57,3.44,24.67,100.99,0.57,0,0,0,5.74,0,0,0.57,0,170.42,0,2.3,0,0.57
 60-70,0,0,0,11.78,0,0,4.91,0.98,2.94,2.94,11.78,0.98,0,0,0,0,0,0,0,1.96,62.82,0,2.94,24.54,99.13,1.96,0,0,0,9.82,0,0,1.96,0,139.38,5.89,0,1.96,0.98
 72-82,0,0,0,7.85,0.98,0,9.82,0,2.94,0.98,10.8,0.98,0,0,0,0,0.98,2.94,0,0.98,85.4,0,5.89,33.38,77.55,0,0,0,1.96,6.87,0,0,0,0,75.59,12.76,1.96,5.89,0
 84-94,0,0,0,24.43,0,0,7.43,0,15.93,5.31,13.81,1.06,0,0,1.06,1.06,1.06,1.06,1.06,1.06,57.35,0,7.43,11.68,52.04,1.06,1.06,0,0,22.3,0,0,0,0,46.73,14.87,0,7.43,0
 96-106,0,0,0,19.67,0,0,4.37,0,5.46,1.09,12.02,0,0,1.09,0,2.19,0,2.19,1.09,0,57.92,0,9.84,12.02,41.53,1.09,0,0,2.19,15.3,0,0,0,0,16.39,12.02,0,1.09,2.19
108-118,0,0,0,13.79,0.77,0.77,2.3,0,8.43,1.53,4.6,0.77,0,0,1.53,0.77,0.77,0,0,0,57.45,0,6.13,9.96,39.06,0.77,0,0,0.77,8.43,0,0,0,0,13.02,5.36,3.06,1.53,0.77
120,0,0,0,11.76,0,0,3.92,0,9.8,0,1.96,0,0,0,0,0,0,0,0,0,41.16,0,5.88,5.88,25.48,3.92,0,0,0,27.44,0,0,0,0,11.76,3.92,0,3.92,1.96
