stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,6.29,3.15,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,1,2,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,1.64,0,4.1,3.28,0,0,0.82,0,0,0,0,1.64,0.82,0,0
 36-46,0,0.81,0,0,1.61,0,0,0,0,0.81,8.86,2.42,0,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0.57,0,0,2.87,0.57,0.57,0,0,0,7.46,0.57,0,0,0,0,0,0,0,1.72,0.57,0,0
 60-70,0,0,0,0,11.78,0.98,0.98,0,0,0.98,4.91,0.98,0,0,0.98,0,0,1.96,0,1.96,0,0,0
 72-82,0,0.98,0,0,35.34,0,0.98,0.98,4.91,0,6.87,0.98,0,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,1.06,1.06,0,27.61,0,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,77.59,0,2.19,0,0,0,2.19,2.19,0,1.09,3.28,0,0,3.28,0,0,2.19,1.09,0
108-118,0,0,0,0.77,75.83,0,0.77,0,0.77,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,156.78,0,3.92,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0
