stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,8,5,5,0,0,0,7,2,0,0,0,1,1,0,0,12,0,2,100,2,2,0,2,0,1,6,0,1,9,33,0,0,1,0,0
 24-34,0,0,0,1.64,0,20.52,0,0,0,4.1,0,0,0,0,0,0,0.82,0,13.13,0,7.39,158.43,1.64,1.64,0.82,0,0,1.64,0,0,0,0.82,33.66,0,0,3.28,0,0
 36-46,0,0,0,4.83,0,28.2,0.81,0,0,7.25,0,0,0.81,0.81,0,0,0,0,9.67,0.81,5.64,120.04,2.42,2.42,0.81,0,0,0,0,0,0,0,27.39,0,0.81,3.22,0,0
 48-58,0,0,0,1.15,0.57,41.31,0.57,0.57,0,11.48,0,0.57,0.57,0.57,0,0,0.57,0,14.92,0.57,1.15,71.15,0,0.57,0.57,0,0,1.72,0,0.57,0,0,19.51,0,0,2.87,0,0
 60-70,0,0,0,4.91,0,23.56,0,0,0.98,4.91,2.94,0,0,0,0,0.98,0.98,0,21.59,0,0.98,51.04,0,0,0,0,0.98,0.98,0,0,0,0,7.85,0,0,0.98,0.98,0
 72-82,0,0,0,2.94,0,39.27,0,0,0,12.76,0.98,0,1.96,0.98,0,0.98,1.96,0.98,32.39,0.98,1.96,78.53,0,0,0.98,0,0,0.98,0,0,0,0,9.82,0.98,0.98,2.94,0,1.96
 84-94,0,0,0,2.12,2.12,25.49,0,0,1.06,7.43,1.06,0,0,1.06,1.06,0,0,0,16.99,2.12,3.19,41.42,3.19,2.12,0,0,0,5.31,0,1.06,0,0,2.12,0,0,2.12,0,0
 96-106,0,0,0,3.28,0,10.93,0,0,1.09,10.93,2.19,0,3.28,1.09,0,2.19,1.09,0,25.14,0,2.19,26.23,0,1.09,1.09,0,0,0,0,0,0,0,5.46,0,0,2.19,0,1.09
108-118,0,0,0,2.3,0,14.55,0,0.77,0,11.49,0,0,0,0.77,0,0,0.77,0,10.72,0.77,3.83,30.64,0.77,0,4.6,0,0,5.36,0,0.77,0,0,0,0,0,0.77,1.53,1.53
120,0,0,0,9.8,0,9.8,0,1.96,0,13.72,1.96,0,0,0,1.96,0,0,0,15.68,0,5.88,29.4,0,1.96,1.96,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0
