stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,22.16,0,0,0.82,0,0,0,0,0,0,0,0,21.34,0,0,11.49,7.39,2.46,0,0.82,0,0,0,1.64,0,0.82,0,0,0.82,0
 36-46,0,11.28,0,0,2.42,0.81,0.81,0,0.81,0.81,1.61,2.42,0,17.72,0,0,10.47,0.81,1.61,0,0,0,0,0,0.81,0,1.61,0,0,0,0
 48-58,0,14.35,0,1.72,4.59,4.02,0,0.57,1.72,1.15,1.15,2.3,0.57,62.54,1.15,0.57,14.92,6.31,4.59,0.57,0,0,0,0,0.57,0,0.57,0,0,4.59,0
 60-70,0,6.87,0,1.96,0.98,2.94,3.93,0.98,0.98,0.98,0,0,0,102.08,0,0.98,14.72,2.94,2.94,0,0,0,0,0.98,0.98,0,4.91,0,0.98,0,2.94
 72-82,0,9.82,0,0.98,0.98,9.82,2.94,0,0.98,1.96,0.98,3.93,0.98,87.37,2.94,3.93,7.85,3.93,0,0,1.96,0,0.98,0,1.96,0,0,0,5.89,0.98,0
 84-94,1.06,30.8,0,3.19,11.68,4.25,1.06,4.25,2.12,4.25,4.25,2.12,1.06,92.4,2.12,2.12,4.25,0,5.31,1.06,0,0,0,0,3.19,0,3.19,2.12,5.31,3.19,3.19
 96-106,0,12.02,1.09,1.09,4.37,0,1.09,1.09,2.19,6.56,3.28,1.09,0,60.11,0,1.09,8.74,6.56,2.19,1.09,3.28,0,1.09,2.19,5.46,0,1.09,2.19,2.19,3.28,3.28
108-118,0,19.15,0,3.83,5.36,2.3,1.53,0.77,0,0,3.83,1.53,1.53,37.53,0.77,0,3.83,6.89,2.3,0.77,4.6,0,0.77,0,2.3,0,0.77,2.3,3.06,2.3,1.53
120,0,29.4,0,3.92,7.84,5.88,3.92,1.96,1.96,1.96,1.96,0,1.96,50.95,3.92,3.92,5.88,7.84,3.92,3.92,5.88,0,3.92,0,5.88,0,0,3.92,3.92,1.96,3.92
