stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,65,0,0,0,1,0,0,0,0
 24-34,0,0.82,0.82,0.82,0,0.82,0.82,0,0.82,0,0,0.82,0.82,0,0,0,0,1.64,0,0.82,20.52,0,3.28,0,192.9,0,0,0,0,0.82,0,1.64,0.82
 36-46,0,0,2.42,0,0,3.22,0.81,0,12.09,0,0,2.42,0,0.81,0,0,0,0.81,1.61,0.81,24.17,0,1.61,0.81,163.55,0,0.81,0,0,4.03,0,1.61,0.81
 48-58,0,0,2.3,0,0,3.44,1.15,0,45.9,0,0,7.46,0,0,0.57,0,0,2.3,2.87,0.57,25.25,0,4.02,0,113.61,0,0.57,0,0,8.61,0,4.59,1.15
 60-70,0,0,5.89,0.98,0,25.52,1.96,0,148.21,0,0,15.7,1.96,0,0,0,0,4.91,1.96,0.98,10.8,0,3.93,0.98,127.6,0,0,0.98,0,8.83,0.98,2.94,0.98
 72-82,0,0,9.82,6.87,0,40.25,0,0,199.28,0,0,24.54,0.98,0.98,0,0,0,13.74,5.89,0,31.41,0,4.91,1.96,171.79,0,0.98,0,0,3.93,3.93,13.74,0
 84-94,0,0,13.81,10.62,0,19.12,8.5,1.06,98.77,2.12,0,28.68,1.06,2.12,0,0,1.06,4.25,5.31,0,28.68,0,7.43,0,408.88,0,2.12,0,0,4.25,3.19,9.56,0
 96-106,0,0,26.23,7.65,1.09,18.58,2.19,0,124.58,0,0,71.04,7.65,2.19,0,0,0,5.46,4.37,0,40.44,1.09,7.65,0,383.59,0,1.09,1.09,0,3.28,15.3,20.76,0
108-118,0,0,32.17,5.36,1.53,13.79,12.26,0,106.47,0.77,0,43.66,9.19,6.89,2.3,1.53,0,14.55,9.19,0.77,27.57,0,8.43,0,323.24,0,3.06,0,0,1.53,13.79,9.96,1.53
120,0,0,35.28,5.88,3.92,11.76,25.48,1.96,107.79,3.92,0,48.99,7.84,1.96,0,0,0,7.84,1.96,1.96,41.16,0,5.88,1.96,278.29,0,0,1.96,0,0,5.88,5.88,0
