stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0,2,16,1,0,0,2,0,3,0,23,4,2,0,1,0,0
 24-34,0,0.82,0.82,0,1.64,0,0,0,0.82,0,0,0,0,0,0,5.75,0,2.46,72.24,1.64,0,0.82,0,2.46,0,0,0.82,0,9.03,0,1.64,0,0
 36-46,0,0.81,0,0,1.61,0,1.61,0,3.22,0.81,0,0,0,0,0,2.42,0,0.81,126.49,0,0,0.81,0,0.81,0,2.42,0,0,6.45,0,0,0,0.81
 48-58,0,1.15,0,0,12.62,0.57,0,0,1.72,0,0,0,0,0,1.15,4.02,0,0,147.47,0.57,0,0,0,0,0,0,0,0,9.75,0,1.15,0,0
 60-70,0,0,0,0,22.58,0,0,0,9.82,0.98,0,0,0.98,0,0,7.85,0.98,0,155.08,0,0,0,0,0,0,0,0,0,7.85,0.98,0,0,1.96
 72-82,0,1.96,2.94,0,21.6,0,0.98,0,12.76,0,0,0.98,0,0,0,11.78,2.94,0.98,213.02,0,1.96,0.98,0,0,0,0,0.98,0,7.85,0,2.94,0.98,0
 84-94,0,3.19,1.06,0,15.93,1.06,0,0,3.19,0,0,1.06,0,1.06,0,7.43,0,2.12,131.69,0,0,0,0,2.12,0,0,0,0,2.12,0,3.19,0,2.12
 96-106,0,1.09,0,0,17.49,1.09,0,1.09,3.28,1.09,0,0,0,0,0,9.84,0,0,112.56,0,0,0,0,5.46,0,0,0,0,3.28,0,2.19,0,2.19
108-118,0,2.3,0,1.53,8.43,0,0.77,0,8.43,0.77,0.77,0,0.77,0.77,0,1.53,0,0.77,140.17,0.77,0,0,0,2.3,0,0,0,0,1.53,0,0.77,0.77,0
120,0,3.92,0,0,13.72,0,0,0,1.96,1.96,0,5.88,0,0,0,3.92,0,1.96,195.98,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
