stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,28.32,50.35,0,0,648.28,0,25.18,6.29,0,66.09,0,0,0,0
 14-21,0,0,3,0,1,0,0,0,1,0,1,0,0,0,13,8,3,0,0,1,0,278,0,254,1372,4,0,0,0
 24-34,0,0,0,0,0.82,8.21,0,0,0,0,0,0,2.46,0,13.13,18.06,0.82,0.82,0,0,2.46,0.82,0.82,48.43,366.92,3.28,0,0.82,0
 36-46,0,0,0,0,0.81,11.28,0,0.81,0,0,0,0,0.81,0,9.67,2.42,0,0.81,0.81,0,0,0,0,22.56,8.86,1.61,0,0,0
 48-58,0,0,0,0,2.3,12.05,0,0,0,0,0,0,1.72,0.57,24.1,6.89,0,0,0,0,0,0,0,6.31,0.57,1.72,0,0,0
 60-70,0,0,0,0,2.94,17.67,0,0,0,0,0,0,0.98,0,22.58,0.98,0,0,0,0.98,0,0,0,10.8,0,2.94,0,0,0
 72-82,0,0,0,0,0.98,23.56,0.98,0,2.94,0,0,0,2.94,0,20.61,6.87,0,0,1.96,0,1.96,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,0,1.06,14.87,0,0,1.06,0,0,1.06,0,0,26.55,8.5,0,0,0,0,0,0,0,11.68,0,1.06,0,0,0
 96-106,0,0,0,1.09,4.37,28.41,0,0,0,0,1.09,0,3.28,0,34.97,7.65,1.09,0,0,1.09,1.09,0,0,21.86,0,0,0,2.19,2.19
108-118,0,0,0,0,2.3,25.28,0,0,3.06,0.77,0.77,0.77,3.06,1.53,48.26,3.06,0,0,0,0.77,1.53,0,0,13.79,0,0,0.77,0,0
120,0,0,0,1.96,3.92,17.64,0,0,1.96,0,0,0,3.92,0,50.95,1.96,0,0,0,0,0,0,0,9.8,0,1.96,0,0,0
