stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,36.78,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,9.44,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,0,6,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,2,0,4,1,0,8,0,1,0,0
 24-34,0,0,0,0,3.28,0,4.93,0,0,0,1.64,0,0,2.46,0,0,0,0,0,0,3.28,0,0,2.46,79.62,0.82,0,0.82,0,9.85,0.82,0.82,22.98,0,7.39,0,0
 36-46,0,0,0,0,0.81,0,13.7,0,0,0.81,5.64,0,0,0.81,1.61,0,0,0,0,0.81,11.28,0,0.81,1.61,91.04,0,1.61,0,0,2.42,0.81,0.81,22.56,0,8.86,0,0.81
 48-58,0,0,0,0,1.72,0.57,14.92,0,0,0,9.75,0,0.57,0.57,1.15,0,0.57,0,0,1.15,14.92,0,0,2.87,77.46,0,0.57,0,0,6.89,0,0,26.4,0,7.46,0,0.57
 60-70,0,0,0,0,0,0,39.26,0,0.98,0.98,23.56,0,0,0,2.94,0,0.98,0.98,0.98,1.96,14.72,0,0,0.98,78.52,3.93,1.96,0,0,3.93,0,0,18.65,0,8.83,0.98,1.96
 72-82,0,0,0,0,0.98,1.96,36.32,0,0.98,0,43.19,1.96,0,0.98,4.91,0,0.98,0.98,0.98,0,35.34,0.98,1.96,0.98,90.31,0,3.93,0.98,0,7.85,0,0,7.85,0,17.67,0,0.98
 84-94,0,0,0,0,6.37,0,33.99,0,1.06,0,20.18,1.06,0,1.06,9.56,0,3.19,0,0,1.06,12.74,1.06,2.12,2.12,40.36,0,1.06,2.12,0,12.74,7.43,0,7.43,0,9.56,0,1.06
 96-106,0,0,0,0,4.37,2.19,24.04,0,0,1.09,20.76,6.56,0,1.09,7.65,2.19,2.19,0,0,1.09,21.86,0,3.28,5.46,26.23,1.09,1.09,0,0,15.3,4.37,0,2.19,0,24.04,2.19,0
108-118,0,0,0.77,0,3.83,1.53,27.57,0.77,0.77,0.77,20.68,4.6,0,0.77,3.83,1.53,3.83,0.77,0,0,11.49,0.77,0.77,1.53,32.17,0,1.53,1.53,0,9.19,5.36,0,0.77,0.77,13.79,0,0
120,0,0,1.96,1.96,3.92,0,15.68,0,0,0,25.48,7.84,0,0,19.6,1.96,3.92,0,1.96,0,9.8,0,0,0,37.24,0,0,3.92,0,13.72,3.92,0,0,0,7.84,0,1.96
