stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,11,2,1,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,4,20,4,0,0,0,0,5,8,2,0,2,19,0,0,0
 24-34,0,0,0,3.28,0,1.64,0.82,0,1.64,0,0,0,1.64,0,0,0,0.82,0.82,4.93,0,0,3.28,23.8,0,0,0,0,0,18.88,0,0.82,0,0,9.85,5.75,0,0
 36-46,0,0,0,3.22,0,1.61,0,0,5.64,0.81,0,0,1.61,0,0,0,0,1.61,16.11,0,0,5.64,24.17,0.81,0.81,0,0,0,12.09,0,0.81,0,0,10.47,4.03,0,0.81
 48-58,0,0,0,0,0,5.16,0.57,0,4.59,0,0.57,0,0.57,0,0.57,0,0,0,6.89,0,0,0.57,10.33,1.72,0.57,0,0,0,2.3,0,0,0,0,3.44,4.02,0,1.15
 60-70,0,0,0,1.96,0,5.89,0,0,8.83,0,0,0,0,0,0,0,0,0.98,19.63,0,0,0,4.91,0.98,0,0,0,0,8.83,0,0.98,0.98,0,2.94,0.98,0,0
 72-82,0,0,0,2.94,0,2.94,0,0.98,13.74,0,0,0.98,1.96,0,0,0,0.98,0,20.61,0,0.98,0,3.93,0,1.96,0.98,0,0,2.94,0,0,0,0,1.96,2.94,0,0
 84-94,0,0,0,7.43,0,2.12,0,0,11.68,1.06,0,0,1.06,0,2.12,0,0,0,13.81,0,0,2.12,0,0,0,0,0,0,18.05,0,0,0,0,0,4.25,0,0
 96-106,0,0,0,6.56,0,3.28,2.19,0,5.46,0,0,0,3.28,0,2.19,1.09,0,0,12.02,0,0,0,1.09,0,0,1.09,0,0,12.02,0,0,0,0,0,4.37,0,0
108-118,0,0,0,6.89,0.77,3.83,3.83,0,6.13,3.83,0,0,2.3,1.53,1.53,0,0,0.77,12.26,0.77,0,0.77,0.77,0.77,0,0.77,0,0.77,17.62,0,0.77,0,0,0,5.36,0.77,0.77
120,0,0,0,3.92,0,0,3.92,0,5.88,0,0,0,7.84,0,0,0,0,0,9.8,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,0,1.96,5.88,0,0
