stage,axial,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,3,1,0,0,0,0,20,0,1,0,0
 24-34,0,0.82,1.64,1.64,0,0,0,0,0,0,0,0,0,0.82,0,0,98.5,10.67,5.75,0,0.82,0,0,55.82,0,0.82,0,0
 36-46,0.81,0.81,0,2.42,0,0,5.64,0,0,0,0,0,0,0.81,0,0,212.7,7.25,8.06,0,0,0.81,0.81,93.46,0,0,0,0
 48-58,0,0.57,1.15,11.48,0,0.57,17.79,0,0.57,0,0,0,1.15,2.87,0,1.15,180.17,1.15,2.3,0,0,0,0,72.87,0,1.72,0,0
 60-70,0,0.98,0.98,59.87,0,0,68.71,0,0,0,0.98,0.98,0,5.89,0,0,358.26,0.98,6.87,0.98,0.98,0,0,49.08,0,0.98,0,0
 72-82,0,0.98,1.96,68.72,1.96,0,72.64,0,0,0,0,0,0,4.91,0,0.98,209.09,0,6.87,0,0.98,0,0,20.61,0,1.96,0,0.98
 84-94,0,0,3.19,47.79,0,0,53.1,0,1.06,0,0,0,0,2.12,0,1.06,116.82,0,2.12,0,1.06,0,0,20.18,2.12,0,1.06,0
 96-106,0,0,0,45.9,1.09,0,48.09,0,0,1.09,0,0,0,4.37,1.09,0,111.47,0,4.37,1.09,0,0,0,17.49,0,0,1.09,0
108-118,0,0,3.06,40.6,0,0,49.02,0.77,0,0,0,0,0,2.3,0,0,103.41,0,7.66,1.53,0,0,0,6.13,0.77,0,0,0
120,0,0,7.84,37.24,0,0,54.87,0,0,0,0,0,0,1.96,0,0,152.86,0,5.88,3.92,0,0,0,5.88,0,1.96,0,0
