stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,0,8,15,13,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,5,112,2,1,2,4,0,0,0,8,32,0,8,38,0,0,0,0
 24-34,0,0,0.82,9.85,3.28,4.1,0,28.73,0,0.82,0.82,4.1,9.85,0,0,0,0,0,0,0.82,0,26.27,0,4.1,271.7,2.46,1.64,2.46,0,0,0,0,0,33.66,0,3.28,82.09,0,4.93,0,0.82
 36-46,0,0,0,0,3.22,0,0,70.09,0,0,0,9.67,4.83,0,0,0,0,0,0,1.61,0,22.56,0,4.03,348.05,0.81,1.61,0.81,0,0,1.61,0,0,23.36,0,0,77.34,0,3.22,0,0
 48-58,0,0,0,0.57,4.02,1.72,0,114.76,0.57,0,0.57,19.51,1.72,0,0,0,1.15,0,0,1.15,0,42.46,0.57,8.03,240.42,0,1.15,2.3,0,0,0.57,0,0,13.2,0.57,0,55.66,0,3.44,0,1.15
 60-70,0,0,0,0,0.98,0.98,0.98,120.73,0,0,0.98,16.69,2.94,0,0,0,0,0,0,3.93,0,20.61,0.98,1.96,298.38,0,0,0,0,0.98,0.98,0,0,14.72,0,0,36.32,0,1.96,0,0
 72-82,0,0,1.96,0,4.91,5.89,11.78,67.73,0,0,2.94,20.61,9.82,0,0.98,0,0.98,0,0,11.78,0,41.23,2.94,8.83,170.81,0,0,0,0,0,0.98,0,0,15.71,0,0,6.87,0.98,1.96,0.98,0.98
 84-94,0,0,0,0,1.06,4.25,27.61,48.85,1.06,0,1.06,15.93,23.36,1.06,0,1.06,1.06,0,0,26.55,1.06,22.3,1.06,7.43,92.4,0,0,0,0,0,4.25,0,0,33.99,0,0,8.5,0,2.12,1.06,0
 96-106,0,0,1.09,0,3.28,15.3,45.9,16.39,0,0,2.19,17.49,26.23,0,0,1.09,0,0,0,28.41,0,25.14,0,4.37,73.22,0,2.19,2.19,0,1.09,3.28,0,0,21.86,0,0,5.46,0,3.28,0,1.09
108-118,0,0,1.53,0.77,6.89,7.66,42.13,18.38,0,0,2.3,5.36,29.11,0,0,0.77,0.77,3.83,0,68.94,0,22.98,0,5.36,61.28,0.77,0,0.77,0,0.77,1.53,0,0,19.92,0,0,0,0,0.77,0,0
120,0,0,1.96,0,1.96,9.8,19.6,7.84,0,0,3.92,5.88,17.64,0,0,0,0,0,1.96,43.12,0,9.8,0,5.88,58.79,0,0,0,0,0,0,1.96,0,27.44,0,0,1.96,0,0,0,0
