stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,taste
  3-4,52.71,1344.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0
  5-6,61.3,753.95,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,18.39,18.39,0,0,0,0,0
  7-9,5.26,5.26,5.26,0,0,23.66,0,2.63,0,0,0,0,0,0,0,94.63,2.63,0,26.29,0,5.26,0,0,0,0
 10-12,0,0,3.15,0,3.15,9.44,0,3.15,0,0,0,0,0,0,0,47.2,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,3.28,0,0,0.82,0,0,6.57,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,5.16,0,0,0.57,0,0.57,1.15,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,4.91,0.98,0,0,0,0,3.93,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,0,2.12,1.06,0,0,0,0,3.19,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,3.06,0,3.06,1.53,0,0.77,1.53,0,0.77,1.53,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
