stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,visceral_smooth_muscle
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,61.3,514.89,0,0,0,0,0,12.26,0,0,0,6.13,6.13,12.26,0,0,0,0,0
  7-9,0,5.26,2.63,0,10.51,0,0,5.26,0,0,186.64,0,65.72,0,0,2.63,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,53.5,0,47.2,0,3.15,9.44,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09
