stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,periderm,spinal.cord,taste
 14-21,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,1.64,0,0.82,25.45,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,39.48,1.61,0
 48-58,0.57,1.15,0.57,0,0,0,0.57,0,0,1.15,0,0,14.92,0,0
 60-70,0.98,0,0,0,0,0,0,0,0,2.94,0,0,32.39,0,0
 72-82,2.94,0,0,0,0,0,0,0,0.98,0,0,0,26.5,0,0
 84-94,2.12,0,0,1.06,0,1.06,1.06,1.06,1.06,1.06,0,0,98.77,0,0
 96-106,5.46,0,0,1.09,1.09,0,2.19,0,0,3.28,0,0,55.74,0,0
108-118,7.66,0,0,0,0.77,0.77,1.53,0,0.77,0,0,0,39.06,0,1.53
120,5.88,0,5.88,0,0,1.96,0,0,0,0,0,0,29.4,0,0
