stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,5,0,0,1,0,0,0,5,0,0,23,0,1,0,2,1,10,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,1.64,0,0.82,64.85,0,0,0,0,0,17.24,0,0
 36-46,0,0,3.22,0,0,0,0,0,0,1.61,0,0,200.61,1.61,0,0,0,0,45.92,0,0
 48-58,0,1.15,21.23,0,0,2.87,0,0,0,1.72,0,0.57,275.43,1.15,0,0,0,0,33.28,0,0.57
 60-70,0,0.98,72.63,0,0,0.98,0,0.98,0,1.96,0.98,0.98,574.19,0,0,0,0,0,59.87,0.98,0
 72-82,0,1.96,79.51,0,0.98,1.96,0.98,0,0,0.98,0,0,386.77,0.98,0,0,0,0,44.17,0.98,0.98
 84-94,0,2.12,46.73,1.06,0,2.12,0,0,1.06,6.37,1.06,0,198.6,0,0,1.06,0,0,19.12,0,0
 96-106,0,1.09,22.95,1.09,0,4.37,0,0,0,2.19,0,0,171.58,0,0,0,0,0,5.46,0,0
108-118,0,3.83,40.6,0,0.77,3.06,0,0,0.77,0.77,0,0.77,204.51,0,0,0,0,0,7.66,0,0
120,0,3.92,27.44,0,1.96,1.96,0,0,0,0,0,1.96,174.42,0,0,0,0,0,7.84,0,0
