stage,blastomeres,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0
 14-21,0,14,0,0,1,1,0,0,0,0,1,1,0,0,1
 24-34,0,1.64,0,0,0,0,1.64,1.64,0,0,4.1,0,0,0,13.95
 36-46,0,0,0.81,0,0,0,0.81,0.81,0,0.81,6.45,0,0,0,3.22
 48-58,0,0,0.57,0,0.57,0,0.57,0,0,0,3.44,0,0,0,2.87
 60-70,0,0.98,1.96,0.98,0.98,0,1.96,0.98,0,0,3.93,0,0,0,4.91
 72-82,0,0,1.96,0.98,0.98,0,4.91,2.94,0,0,2.94,0,0,0,6.87
 84-94,0,0,1.06,1.06,0,0,5.31,1.06,0,0,1.06,0,1.06,0,8.5
 96-106,0,1.09,2.19,0,0,2.19,10.93,1.09,1.09,0,0,0,0,0,7.65
108-118,0,0,0,1.53,0,0,8.43,1.53,0,0,1.53,0,0,0,8.43
120,0,0,1.96,0,0,0,5.88,3.92,0,0,1.96,0,0,0,3.92
