stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,35,0,0,0,11,0,0,0,0,0,0,0,2,0,0,4,0,2,8,1,0,0,0,1,1,0,0,0
 24-34,0,0,0,6.57,0,0.82,0,33.66,0.82,0,0,0,0,0,0,6.57,0,8.21,0.82,0,0.82,27.09,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,1.61,0,3.22,0,20.95,1.61,0.81,0,0,0,0,0,33.03,1.61,12.89,4.03,0,0.81,9.67,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,7.46,0,2.87,0,17.79,6.31,0.57,0,0,0,0,0,55.66,1.72,19.51,8.61,0,0.57,16.64,0,0,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,5.89,0,0.98,0.98,20.61,1.96,0,0,0,0,0,0,101.1,2.94,5.89,5.89,0,0,14.72,0,0,0,0,0,1.96,2.94,0.98,0
 72-82,0,0,0,6.87,0,9.82,0,8.83,4.91,1.96,0,0,0.98,0,0.98,168.85,0.98,21.6,15.71,0,0,33.38,0,0,1.96,0,0,0.98,3.93,10.8,0
 84-94,1.06,0,0,9.56,0,9.56,0,32.92,3.19,0,0,1.06,0,0,0,101.96,3.19,11.68,5.31,0,0,21.24,0,0,3.19,0,0,2.12,4.25,10.62,0
 96-106,0,0,1.09,10.93,0,6.56,0,40.44,1.09,3.28,1.09,0,3.28,0,0,100.54,1.09,10.93,10.93,0,0,26.23,0,0,2.19,1.09,0,0,4.37,22.95,0
108-118,0,0,0,12.26,0,7.66,0,28.34,3.06,0,0,0,0.77,0.77,0,99.58,0,10.72,16.09,0.77,0,27.57,0,0.77,0.77,0,0,0,0,12.26,0
120,0,0,0,9.8,3.92,7.84,0,31.36,1.96,0,0,0,0,0,0,62.71,0,9.8,21.56,0,0,17.64,0,0,5.88,0,0,1.96,1.96,9.8,0
