stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,22,1,2,0,0,0,0,4,0,0,4,12,0,0,0,0,0
 24-34,0,0.82,1.64,0,0,0,0,0.82,0.82,4.1,2.46,0,0.82,0,0,0,0,0,19.7,0.82,0,3.28,69.77,0.82,0.82,0.82,0,7.39,0,0,0,0,0.82,14.78,0,0,0.82,0,0
 36-46,0,0,0,0,0,13.7,1.61,0,0.81,7.25,0,0,1.61,0,1.61,0,0,1.61,37.87,0,0,10.47,118.43,1.61,1.61,2.42,0,4.83,0.81,0,0,0,0,19.34,0,0,0.81,0,0.81
 48-58,0,0,1.72,0,0,20.66,1.15,0,1.15,9.75,0,1.15,4.02,0,0.57,0,0,1.15,61.97,0,0.57,6.31,138.86,0,0,0.57,0,1.72,0,0,0.57,0.57,0,22.95,0,0.57,1.15,0,0.57
 60-70,0,0,2.94,0.98,0,29.45,0,0,1.96,22.58,0,1.96,8.83,0,0,0,0,0,124.65,0.98,1.96,11.78,268.94,0,1.96,2.94,0,3.93,0,0,0.98,0,0,38.28,0.98,0,5.89,0.98,0.98
 72-82,0,0,1.96,0.98,0,57.92,0.98,0,3.93,56.94,0.98,1.96,14.72,0,1.96,1.96,0,1.96,152.16,0,2.94,14.72,190.44,0.98,2.94,0.98,3.93,1.96,0,0,0,0,0,16.69,0,1.96,13.74,3.93,0.98
 84-94,0,0,5.31,2.12,0,27.61,0,1.06,1.06,26.55,1.06,2.12,24.43,1.06,1.06,1.06,0,1.06,89.21,0,4.25,9.56,115.76,1.06,0,2.12,1.06,20.18,0,0,0,0,0,9.56,2.12,0,6.37,1.06,1.06
 96-106,0,0,5.46,1.09,0,19.67,1.09,2.19,1.09,32.79,1.09,2.19,27.32,0,4.37,0,1.09,1.09,60.11,1.09,3.28,4.37,95.08,0,4.37,3.28,1.09,8.74,0,0,0,0,0,7.65,0,3.28,8.74,2.19,1.09
108-118,0,0,4.6,1.53,0,25.28,0,1.53,0.77,23.74,1.53,0,28.34,0,0.77,0,0,3.83,52.09,0.77,1.53,6.13,99.58,2.3,0.77,2.3,0.77,12.26,0,0,0,0,0,2.3,0,0,7.66,0.77,1.53
120,1.96,0,1.96,3.92,1.96,15.68,1.96,0,1.96,39.2,0,0,48.99,0,1.96,0,0,0,47.03,0,1.96,9.8,123.47,0,1.96,1.96,3.92,11.76,0,0,1.96,0,0,3.92,0,0,1.96,3.92,0
