stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,387,1,4,1,0,0,1,1,0,0,7,190,0,0,0,0,0
 24-34,0,2.46,0,14.78,0,0,0,55.82,0,0,0,0,0,0,0.82,0,2.46,0,0.82,1435.68,0,6.57,0,0,0,1.64,0,0,0,2.46,443.26,0,0,0,0,0
 36-46,0,5.64,0,28.2,0,0,0,178.86,0,0,0,0,0,0,0.81,0.81,1.61,0,1.61,1653.23,0,2.42,0.81,0,0,2.42,0,0,0,0,589.75,0,0,1.61,0,1.61
 48-58,0,1.15,0,84.92,0.57,0,0.57,423.47,0,0,0,0,0.57,1.15,0,0,6.89,0.57,2.3,954.81,0.57,0.57,1.15,0,0.57,1.15,0,0,0,0,585.28,0,0,0,0,0
 60-70,0,3.93,0,22.58,0,0.98,0,321.94,0,0,0.98,0,0,0,0,0,1.96,0.98,0,220.84,0,0,0.98,0,0,0,0,0,0.98,0,138.39,0,0,0,0,0.98
 72-82,0,3.93,0.98,56.94,0,0,0,492.79,0,0.98,0.98,0,0.98,1.96,0,0,8.83,1.96,0.98,221.86,0,0.98,3.93,0,0,0,0,0,0,0,55.95,1.96,0,0,0,0
 84-94,0,2.12,0,32.92,0,0,0,281.44,0,0,0,0,0,3.19,0,1.06,3.19,4.25,0,122.13,0,1.06,0,0,0,1.06,0,0,0,0,47.79,1.06,1.06,1.06,1.06,0
 96-106,0,7.65,1.09,29.51,0,0,1.09,242.61,1.09,0,0,0,0,0,0,0,7.65,2.19,2.19,100.54,0,4.37,1.09,0,0,0,0,0,0,0,25.14,1.09,0,2.19,0,0
108-118,0,4.6,0,13.79,0,0,0,241.28,0,0,0,0,0,0.77,0,0,3.06,3.06,1.53,144,0,3.06,1.53,0,0,0.77,0,0,0,0,8.43,0,0,0,0,0
120,0,3.92,0,25.48,0,0,0,156.78,0,0,1.96,1.96,0,0,0,0,1.96,0,1.96,94.07,0,0,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0
