stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,1,16,3,17,0,0,0,2,1,1,0,0,0,0,0,0,10,0,0,6,158,1,2,0,2,0,1,10,1,0,10,52,0,1
 24-34,1.64,4.1,4.1,100.97,0,0,0.82,7.39,0,0,0,0.82,0,0,0.82,2.46,31.19,0,0,12.31,565.57,0.82,3.28,4.93,0,4.1,0,0,0,0.82,1.64,126.41,4.1,0.82
 36-46,0,4.03,10.47,165.16,0,0,0,12.89,0,0,0,0.81,0,0,0.81,1.61,30.62,0,0,9.67,315.02,0,0.81,0,0,3.22,0,0,0,0,0,67.68,4.03,0
 48-58,0,3.44,1.72,172.14,0,1.15,1.15,9.75,0.57,0,0.57,0,0.57,0,0,0.57,23.53,0,0.57,4.59,146.89,0,0.57,0,0,1.15,0,0,0,0,0,20.08,1.15,0
 60-70,0,2.94,0.98,152.14,0,1.96,0,12.76,5.89,0.98,0,0.98,0,0,0,0,31.41,0.98,4.91,4.91,99.13,1.96,0,0,0,0,0,0,0,0,0,8.83,0,0
 72-82,0,5.89,0,56.94,0,0,0,9.82,0,0,0,0,0,0,0,0.98,20.61,0,0.98,2.94,50.06,0,0.98,0.98,0,0,0,0,0,0,0,2.94,2.94,0
 84-94,0,6.37,1.06,30.8,0,0,0,4.25,0,0,0,4.25,0,0,0,0,21.24,0,2.12,1.06,28.68,1.06,0,2.12,0,0,0,0,0,0,0,1.06,4.25,0
 96-106,0,0,1.09,18.58,1.09,0,0,2.19,1.09,0,0,1.09,0,0,0,0,9.84,0,0,1.09,22.95,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0
108-118,0,3.06,2.3,22.21,0,0,0,5.36,1.53,0,0,1.53,0,0,0.77,1.53,7.66,0,0,1.53,26.81,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0.77
120,0,5.88,9.8,47.03,0,1.96,0,9.8,3.92,0,0,3.92,0,1.96,0,0,15.68,0,1.96,5.88,62.71,0,0,0,0,0,0,0,0,0,0,0,11.76,0
