stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,4,21,6,1,0,0,3,0,0,0,0,0,0,11,0,0,3,19,4,1,0,0,0,89,1,28,1,9,0,0,4,0,1
 24-34,0,0,4.1,2.46,0,2.46,0,0,0.82,0,0,4.1,0,0,0,22.98,0,0,5.75,37.76,0.82,0.82,0.82,0,0,68.13,0,10.67,0,4.93,0,0,19.7,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,1.61,18.53,0.81,0,0.81,26.59,0,2.42,7.25,51.56,0,1.61,0,0,0,54.79,0,9.67,0,10.47,0,0,16.92,0,0
 48-58,0,0,0,3.44,0,10.33,0.57,0.57,0,0,0,8.03,0.57,0,0.57,22.95,0.57,1.72,1.72,59.1,0,0.57,0,0,0,42.46,0,4.02,0,10.33,0,0,10.33,0.57,0
 60-70,0,0,0,0.98,0,18.65,1.96,0.98,1.96,0,0.98,24.54,0,0,0,33.37,0.98,0.98,1.96,102.08,0,0.98,0,0,0.98,40.24,0,1.96,0,12.76,0,0.98,14.72,1.96,0
 72-82,0,0,0,6.87,0,26.5,2.94,5.89,3.93,0,6.87,15.71,0.98,6.87,0,47.12,0,6.87,0.98,155.1,0.98,0,0,0,2.94,34.36,0,7.85,0,9.82,0.98,2.94,13.74,5.89,0
 84-94,0,0,0,24.43,0,7.43,3.19,8.5,5.31,0,9.56,19.12,5.31,11.68,0,31.86,2.12,4.25,2.12,78.59,0,2.12,1.06,0,1.06,88.15,0,6.37,0,5.31,2.12,1.06,13.81,4.25,1.06
 96-106,0,1.09,0,39.34,2.19,26.23,0,6.56,3.28,0,7.65,18.58,7.65,12.02,0,28.41,2.19,7.65,0,83.06,0,5.46,0,0,10.93,130.05,0,7.65,0,4.37,0,4.37,10.93,6.56,0
108-118,0,0,0,29.87,0.77,7.66,10.72,3.06,9.19,0,8.43,16.85,6.13,8.43,0,18.38,0,1.53,0,120.26,0,1.53,0,0,4.6,91.92,0,6.13,0,1.53,0.77,3.06,11.49,3.83,0
120,0,0,0,33.32,0,1.96,0,3.92,3.92,0,5.88,17.64,0,1.96,1.96,19.6,1.96,9.8,1.96,97.99,0,0,1.96,0,0,50.95,0,9.8,0,3.92,0,3.92,5.88,1.96,0
