stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,39.53,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,12.26,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,42.06,2.63,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,12.59,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,2,6,0,1,0,0,0,0,0,0,0,2,0,4,41,1,0,0,0,2,3,0,4,14,0,0,1
 24-34,0,0,0,5.75,0,22.98,1.64,1.64,0,0,0,0,0.82,0,0,13.95,0,1.64,135.44,0.82,1.64,1.64,0,0.82,0,0,0,33.66,0,1.64,0
 36-46,0,0,0,0,0,50.76,0,1.61,0,0,0,0,0,0,0,9.67,0,0.81,101.51,0,0,0,0,0.81,0,0,0,20.14,0,0.81,0
 48-58,0,0,0,1.15,0,43.04,0,1.72,0.57,0,0,0,0,0.57,0,10.9,0,4.02,42.46,0,0,0,0,1.72,0,0,0,4.59,0,0,0
 60-70,0,0,0.98,0,0,41.22,0,3.93,0,0,0,0,0,0,0,13.74,0,0,26.5,0.98,0,0.98,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,1.96,0,8.83,0,5.89,0,0,0,0,0,0,0,11.78,0,0,15.71,0,0.98,0,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,0,2.12,13.81,0,2.12,0,0,0,0,0,0,1.06,13.81,1.06,1.06,11.68,0,2.12,0,0,2.12,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,8.74,0,0,0,0,0,0,0,0,1.09,3.28,0,2.19,8.74,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,10.72,0,0,0,0,0.77,0.77,0,0,0,3.06,0,0.77,6.89,0,0.77,0.77,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,1.96,15.68,0,1.96,0,0,0,0,0,0,0,5.88,1.96,1.96,35.28,1.96,0,0,0,0,0,0,0,3.92,0,0,0
