stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,15,1,0,1,2,0,5,3,0,2,3,39,0,0,0,2
 24-34,0,0,0,0,0,4.93,0,0,0,5.75,0,0,0,0,0,0,0,0,8.21,0,0,0.82,32.83,0.82,0,0,0,0,9.85,0,0.82,0.82,1.64,25.45,0,3.28,0,36.12
 36-46,0,0,2.42,0,0,6.45,0,0.81,0,5.64,0,0,0,0,0.81,0,0,0,4.83,0,0,2.42,33.03,0.81,0.81,0,0,0,8.06,0,0,0,0,16.11,0,0,0,12.89
 48-58,0,0,1.15,0,0,13.77,0,0,0.57,12.05,0,0,0,0,0,0,0.57,0,12.62,0.57,0,2.3,24.67,0,0.57,0.57,0,0,4.59,0,0,0,0,12.62,0,1.15,0,16.07
 60-70,0,0,3.93,0,0,17.67,0,0,0.98,10.8,0,0,0,0.98,0,0,0,0,6.87,0,0,0,32.39,0,0,0,0,0,11.78,0,0,0,0,11.78,0,2.94,0,1.96
 72-82,0,0,0.98,6.87,0,21.6,0,0,0,15.71,0,0,0.98,0,0,0.98,0,0,10.8,0.98,0.98,0,48.1,0,0,0,0,0,9.82,0,0,0,0,0.98,0.98,13.74,0.98,0.98
 84-94,0,0,0,1.06,0,14.87,0,0,1.06,4.25,0,0,0,3.19,2.12,0,0,0,9.56,1.06,1.06,0,18.05,0,0,1.06,0,0,24.43,0,0,0,0,4.25,0,15.93,0,2.12
 96-106,0,0,1.09,1.09,1.09,7.65,0,1.09,0,6.56,2.19,0,0,0,1.09,1.09,0,0,13.11,1.09,3.28,0,16.39,0,1.09,3.28,0,0,9.84,0,1.09,0,0,2.19,1.09,31.69,0,0
108-118,0,0,1.53,0.77,0,9.96,0.77,2.3,0,4.6,3.06,0,0.77,0,2.3,0,0.77,0,6.89,0.77,0.77,0,6.89,0,0,2.3,0,0.77,14.55,0,0,0,0,0.77,0,11.49,0.77,0
120,0,0,1.96,0,0,1.96,0,0,0,9.8,1.96,0,0,0,3.92,0,1.96,1.96,7.84,0,0,0,48.99,0,0,1.96,0,0,15.68,0,0,0,0,5.88,1.96,9.8,1.96,0
