stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,0,1,0,1,0,0,0,0,0,0,4,0,2,0,0,0,1,1,7,6,0
 24-34,0,0,0,1.64,0,2.46,0,0,0.82,0,0,0,0,0,17.24,0,1.64,0,0.82,0,0.82,7.39,0
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0,53.17,0,1.61,0.81,0,0,0,8.86,0
 48-58,0,0,0,5.74,0,1.15,0,0,0,1.72,0,0.57,0.57,0,48.77,0,0.57,0,1.15,0,0,9.18,0
 60-70,0.98,0.98,0,17.67,0.98,1.96,0,0,0,1.96,0,0,0,0.98,41.22,0,0.98,0,0,0,0,12.76,0
 72-82,0.98,6.87,0,15.71,0,2.94,0,0,0,2.94,0,0,2.94,0,37.3,0,0,0,0,0,0.98,6.87,0.98
 84-94,1.06,2.12,0,7.43,0,2.12,1.06,1.06,0,3.19,0,0,2.12,0,11.68,0,1.06,0,2.12,0,0,1.06,0
 96-106,0,5.46,1.09,6.56,0,2.19,1.09,0,0,5.46,1.09,0,1.09,0,14.21,0,3.28,1.09,2.19,0,0,1.09,0
108-118,0,6.13,0,4.6,0,1.53,0,0,1.53,4.6,0,0,0.77,0,10.72,0,0.77,3.06,0.77,0,0.77,0,1.53
120,3.92,7.84,0,3.92,0,0,0,0,0,1.96,0,0,0,0,13.72,1.96,0,0,0,0,0,0,0
