stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,3,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,115,0,0,0,0,0
 24-34,2.46,0,36.94,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0,0,58.28,0,1.64,4.1,0,0,0,0,162.53,0,0,0,0,0
 36-46,0,0,511.6,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,152.27,0,0.81,1.61,0,0,0,0.81,193.36,0,0,0.81,0,0
 48-58,5.16,0.57,583.56,0.57,0,1.15,13.2,0,0.57,0,0.57,1.15,0.57,0.57,0.57,6.31,0.57,2.3,226.65,0,0.57,5.16,0,0.57,0.57,0,147.47,0,0,0,0,0
 60-70,0,0,687.07,0,0.98,0,7.85,0,0.98,0,0,0,0,0,0,4.91,0.98,0,188.45,0,0,5.89,0,0.98,0,0,127.6,0,0,0.98,0,0
 72-82,5.89,1.96,601.76,0,0,2.94,20.61,0,0,0,0,0,0.98,0,0,10.8,0.98,0,122.71,0,0.98,17.67,0,0.98,0,0,55.95,0,0,0.98,0,0
 84-94,5.31,1.06,388.71,0,0,1.06,26.55,1.06,0,1.06,0,0,3.19,1.06,0,18.05,0,0,82.84,1.06,1.06,22.3,0,0,0,0,40.36,0,1.06,0,1.06,1.06
 96-106,4.37,2.19,310.37,0,2.19,0,14.21,1.09,2.19,0,0,1.09,5.46,0,0,7.65,1.09,0,51.36,0,0,19.67,0,1.09,0,0,13.11,0,0,0,1.09,0
108-118,0.77,0,238.21,0,0,0,3.83,0,0,0,0.77,0.77,3.06,0,0,4.6,0,1.53,58.98,0,0.77,16.85,0,0,0,0,11.49,0.77,0,1.53,0,0
120,1.96,0,190.1,0,0,0,7.84,0,0,0,0,1.96,5.88,0,0,1.96,1.96,0,48.99,0,0,15.68,0,0,0,0,7.84,0,0,0,0,0
