stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,21.03,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,4,17,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,1,3,0,7,0,0
 24-34,0,0,0,4.93,5.75,1.64,0,0,0.82,0,0,65.67,0,0,0,0,0,0,0.82,0,0.82,9.85,0,0,0,0,0,0,0,0,2.46,3.28,0,50.07,0,0
 36-46,0,0,0,3.22,0.81,0,0.81,0.81,0.81,0,0,80.57,0,0,0,0.81,0,0,0,0,0.81,4.83,0,0,0,0,0,0,0,0,0,2.42,0,24.17,0,0
 48-58,0,0,0,1.15,1.72,1.72,0,0,0.57,0,0,83.2,0,0,0,0.57,0,0.57,0,0,0,7.46,0,0,0,0,0,0,0,0,0,2.87,0,22.38,0,0.57
 60-70,0,0,0,3.93,7.85,2.94,0,0,0.98,0,0,77.54,0.98,0,0,0,0,3.93,0,0.98,0,9.82,0,0,0,0,0.98,0,0,0,0,0.98,1.96,27.48,0,0.98
 72-82,0,0,0,0.98,23.56,1.96,0.98,0,7.85,0,0,204.19,0,0,0.98,0,0,18.65,0,2.94,0,7.85,0,0,0,0,0,0,0,0,0,0,3.93,55.95,1.96,0
 84-94,0,0,1.06,1.06,19.12,3.19,0,0,1.06,0,1.06,237.9,0,1.06,0,0,1.06,19.12,1.06,0,2.12,2.12,0,0,0,0,0,0,0,0,0,0,5.31,44.61,3.19,0
 96-106,0,0,0,3.28,20.76,7.65,0,0,4.37,1.09,0,316.93,1.09,0,0,1.09,0,18.58,0,0,0,5.46,0,0,0,1.09,4.37,0,0,1.09,0,1.09,3.28,61.2,2.19,0
108-118,0,0,2.3,5.36,29.87,0,0.77,0,3.06,1.53,0,273.45,0,0,0,0,0,9.19,0,0,1.53,9.96,0,0,0,0.77,0,0.77,0,0,0,0.77,1.53,50.55,0.77,0
120,0,0,0,7.84,39.2,0,0,0,1.96,0,0,325.32,0,0,1.96,0,0,7.84,0,0,0,13.72,1.96,1.96,0,0,0,1.96,0,0,0,0,1.96,48.99,1.96,1.96
