stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,2,2,0,0,2,1,0,0,0,0,0
 24-34,0,0,0,888.17,0,9.85,0.82,0.82,0,1.64,0,0.82,0.82,1.64,0,0,0,0.82,14.78,0,0,13.13,136.26,3.28,2.46,0.82,0,5.75,0,0.82,0,1.64,29.55,0,0,7.39,0,0.82
 36-46,0,0,2.42,614.73,0,22.56,0.81,0,1.61,4.83,0,0,0.81,0,0,0,0,0,8.86,0,0,3.22,99.9,1.61,0,1.61,0,4.83,0,0,0,0,25.78,0,0,0,0,2.42
 48-58,0,0,2.3,953.09,0,51.07,0.57,1.15,1.15,18.94,0,1.15,0.57,0,0,0,0,1.15,24.67,0.57,0.57,7.46,136.57,0.57,0.57,0.57,0,8.03,0,0.57,0,0,30.99,0,0,4.02,0,3.44
 60-70,0,0,2.94,1000.17,0,65.76,0,0,0.98,9.82,0.98,0.98,1.96,0.98,0.98,0,0.98,1.96,21.59,0,0,2.94,86.37,0,2.94,0,0,5.89,0,0,0,0,11.78,0,0,0.98,0,0.98
 72-82,0,0,1.96,956.14,0.98,23.56,1.96,0.98,0,5.89,1.96,0.98,1.96,0.98,1.96,0,0,0,11.78,0,1.96,0.98,47.12,0.98,3.93,0,0,4.91,0,0.98,0,0,5.89,0,0,1.96,0,0
 84-94,0,0,1.06,844.32,0,10.62,4.25,0,1.06,6.37,2.12,0,3.19,0,2.12,0,0,0,6.37,0,1.06,2.12,27.61,1.06,0,0,0,7.43,0,2.12,2.12,0,4.25,0,1.06,1.06,0,1.06
 96-106,0,0,7.65,833.84,1.09,20.76,1.09,0,0,3.28,2.19,0,2.19,0,1.09,1.09,4.37,0,12.02,1.09,0,3.28,49.18,0,5.46,1.09,0,16.39,0,0,0,0,1.09,1.09,2.19,4.37,1.09,1.09
108-118,0,0,0.77,594.39,0,9.96,0.77,0.77,0.77,1.53,2.3,0,2.3,2.3,0,2.3,0.77,0,7.66,0,0,0.77,19.92,1.53,2.3,1.53,0,4.6,0,0,0,0,1.53,0,0,1.53,0.77,0
120,0,0,5.88,770.2,0,5.88,1.96,1.96,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,3.92,13.72,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96
