stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,44.69,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,144.76,9.44,0,0,34.62,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,3,2,0,38,0,0,0,0,0,0,0,0,4,0,0,49,0,3,11,3,0,2,40,0,0,132,0,1,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,55.82,0.82,0,0,0,0,0,0,0.82,3.28,0,2.46,27.91,2.46,9.03,1.64,0,0,0,28.73,0.82,0.82,114.1,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,29,0,0,0,0,0,0,0.81,0,2.42,0,0,41.09,0,13.7,2.42,0,0,0,10.47,0,0,78.96,0,0,0,0
 48-58,0,0,0,0,0,0,4.59,0,32.71,0,0,0,0,0,1.15,0.57,0,0.57,0.57,0,20.66,0.57,8.61,1.15,0,0,0,2.87,0,0,67.14,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,3.93,0,35.33,0.98,0,0.98,0,0.98,2.94,0,0,1.96,0,0,26.5,0,10.8,4.91,0,0.98,0,3.93,0,0,34.35,0,0,0,0
 72-82,0,0,1.96,0,0.98,0,3.93,0,36.32,2.94,0,0,0,0,3.93,0,0,1.96,0,0,18.65,0,16.69,5.89,0,0,0,3.93,0,0,14.72,0.98,0,0,0
 84-94,0,0,3.19,1.06,2.12,0,4.25,0,24.43,3.19,0,1.06,1.06,0,5.31,0,0,0,0,1.06,13.81,0,24.43,18.05,0,2.12,0,4.25,0,0,20.18,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,19.67,1.09,0,3.28,0,0,4.37,0,0,2.19,0,0,6.56,0,15.3,17.49,0,0,0,4.37,0,0,12.02,0,0,1.09,0
108-118,0,0,1.53,0.77,1.53,0.77,2.3,0,13.79,3.06,0,1.53,0,0,4.6,0,0,0,0,0,9.19,0,10.72,6.89,0,0.77,0,3.83,0,0,7.66,0,0,0,0
120,0,0,1.96,0,0,0,5.88,0,15.68,1.96,0,0,0,0,9.8,0,0,0,0,0,13.72,0,7.84,5.88,0,0,0,5.88,0,0,9.8,1.96,0,0,0
