stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0.82,0.82,1.64,0,0.82,0,0.82,0,0.82,0,0,0,0,0,0,0,13.95,0,0,0,0,0.82,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,2.42,1.61,0,0,0,0,0,0,0,2.42,0,0,5.64,0,0,0,0,0,0,1.61,0,0.81,0,0,0
 48-58,0,1.72,0.57,0,2.3,0.57,1.72,0,0.57,0,0,0,0.57,0.57,0,0,9.18,0,0,0,0,0,0,0.57,0,1.15,0,0,0
 60-70,0,0.98,0,0,6.87,0,0.98,0.98,2.94,0,0,0,0,6.87,0,0.98,15.7,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,3.93,0,0,0.98,0.98,0,0,0.98,0,4.91,0,0.98,7.85,0,0.98,0,0,0,0,0,0,0.98,0,0,1.96
 84-94,0,1.06,0,0,2.12,0,0,0,0,0,0,0,0,1.06,1.06,1.06,1.06,1.06,0,0,5.31,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,2.19,0,0,0,1.09,0,0,0,0,0,0,0,2.19,0,0,0,1.09,0,0,0,0,1.09,0,0,2.19
108-118,0,0,0,1.53,3.83,0,0,0,0.77,0,0.77,0,0,2.3,0,0,3.06,0,0,0,0.77,0,0.77,0,0,0,0.77,0,0.77
120,0,1.96,0,0,0,0,1.96,0,1.96,5.88,0,0,0,3.92,0,0,9.8,0,0,1.96,3.92,0,0,1.96,0,0,0,0,0
