stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,36,0,0,0,1,0,0
 24-34,0,4.1,0,6.57,0.82,0,0,0.82,0,0,0.82,1.64,0,0,1.64,4.93,0,3.28,44.33,1.64,0.82,0,0,0,539.3,0,0.82,0.82,4.1,0.82,0
 36-46,0,0,0,3.22,0,0.81,0.81,0,0,0,0,0,0,0,4.03,4.83,0,1.61,37.06,0.81,0.81,0.81,0,0,550.27,0,0,0,7.25,0,0
 48-58,0,0,0.57,9.75,0.57,0,4.02,0,0.57,0,0.57,0.57,0,0.57,5.16,4.02,0,0,21.8,0,0.57,0,0,0,354.04,0,0,0,3.44,1.15,0.57
 60-70,0,0,0,6.87,0,0,1.96,0,0.98,0.98,0,1.96,0,0,3.93,4.91,0,0,14.72,0,0,0,0,0,235.57,0,0,0,1.96,0,0
 72-82,0,0.98,0,7.85,0,0.98,1.96,0,0,0,0,0,1.96,0,3.93,5.89,0.98,0.98,13.74,0,0.98,0,0,0.98,216.95,0,0,0,0.98,0.98,0
 84-94,0,1.06,0,2.12,6.37,0,1.06,3.19,1.06,0,0,3.19,2.12,0,3.19,7.43,0,1.06,7.43,0,1.06,0,0,0,568.19,0,0,0,3.19,0,0
 96-106,0,10.93,1.09,5.46,2.19,0,0,0,0,0,1.09,2.19,4.37,0,3.28,12.02,0,0,9.84,0,2.19,0,0,0,459,0,0,0,0,0,0
108-118,0,4.6,0.77,2.3,3.83,0,1.53,0,0,0,0,3.83,3.83,0,0.77,11.49,0,0.77,8.43,0,1.53,0,0,0,295.66,0.77,0,0,0,0,0
120,0,3.92,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,3.92,1.96,0,0,11.76,0,3.92,0,0,0,225.38,0,0,0,0,0,0
