stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.87,2.63,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,3.15,0,31.47,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,254.9,9.44,0,0,125.88,0,3.15,12.59,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,1,2,10,0,31,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,20,111,2,0,0,3,0,1,0,36,0,6,138,21,0,0,0,0,0
 24-34,0,0,1.64,1.64,0,18.06,0,0,0.82,3.28,0,0,3.28,0,0,0,0,1.64,9.03,0,0,13.13,70.59,2.46,1.64,0,0,0,0,0,0,0,1.64,23.8,10.67,0,0,0.82,0,3.28
 36-46,0,0,0,0,0,10.47,0,0,0,2.42,0,0,2.42,0,0,3.22,0,0,10.47,0,0.81,6.45,36.26,0.81,7.25,0.81,0,0,0,0,0,0,2.42,0,16.92,0,0,0.81,0,2.42
 48-58,0,0,0.57,1.15,0,6.31,0.57,0,0.57,6.31,0,0,0.57,0,0,4.02,0,0,7.46,0,0,4.59,24.1,0,2.87,0,0,0,0.57,0,0,0,1.15,0,6.89,0,0,0.57,0,1.15
 60-70,0,0,0.98,3.93,0,17.67,2.94,0,0.98,19.63,0,0,0,0,0,0.98,0,0,12.76,0,0.98,1.96,32.39,0,5.89,0.98,0,0,0,0,0,0,4.91,0,11.78,0,0.98,0,0,0
 72-82,0,0,2.94,14.72,0.98,13.74,0,0,0,14.72,0,0,1.96,1.96,0,8.83,0,0,25.52,0,1.96,5.89,59.88,0,13.74,0,0.98,0.98,0,0,0,0,0.98,0,4.91,0.98,0,0.98,0.98,1.96
 84-94,0,0,3.19,23.36,2.12,14.87,4.25,0,1.06,14.87,1.06,0,0,7.43,0,7.43,1.06,1.06,15.93,0,2.12,8.5,41.42,0,7.43,1.06,0,0,5.31,0,0,0,2.12,0,4.25,1.06,1.06,0,0,1.06
 96-106,0,0,6.56,29.51,4.37,12.02,0,0,2.19,14.21,0,0,2.19,5.46,1.09,9.84,1.09,1.09,29.51,0,1.09,9.84,46.99,0,9.84,0,0,1.09,4.37,0,0,1.09,2.19,0,3.28,1.09,1.09,1.09,2.19,1.09
108-118,0,0,9.96,22.98,16.09,18.38,3.83,0,0,20.68,0.77,0,0.77,3.83,0.77,3.06,0,1.53,21.45,0.77,0.77,14.55,79.66,0.77,11.49,1.53,0,0.77,1.53,0,0,0,5.36,0,5.36,2.3,0,1.53,1.53,1.53
120,0,0,15.68,33.32,11.76,13.72,5.88,1.96,0,31.36,0,0,0,5.88,1.96,3.92,0,1.96,35.28,1.96,3.92,11.76,62.71,1.96,13.72,1.96,0,0,7.84,0,0,0,3.92,0,1.96,0,0,3.92,0,1.96
