stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,26.29,0,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,12.59,0,0,9.44,0,0,0,0
 14-21,0,0,0,1,1,2,1,1,0,0,0,0,7,0,0,0,0,1,4,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0.82,11.49,0,0,0,0,0.82,1.64,0.82
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,4.03,0.81,0,0,0.81,0,1.61,0
 48-58,0,0,0,0,0,4.59,1.15,0,0,0.57,2.87,0,5.74,0,0,0,0,0,2.3,0
 60-70,0,0,0,0.98,0,0.98,1.96,0,0,0,0,0,8.83,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,1.96,0.98,0.98,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,1.09,0,1.09,0,2.19,0,0,0,1.09,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
