stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,vascular.smooth.muscle
  3-4,487.58,11557.05,0,0,0,0,0,0,0,263.56,0,0
  5-6,85.81,3003.52,0,0,0,0,61.3,0,0,73.56,0,0
  7-9,0,0,2.63,2.63,0,0,73.6,0,10.51,0,34.17,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,18.88,0
 14-21,0,0,0,0,0,1,0,1,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0,0
