stage,epidermis,eye,fast_muscle,glial,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,1,0
 24-34,0.82,0,0,0,0.82,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,6.45,0,0,0,0.81,0,0.81
 48-58,0,0.57,0,0.57,0,6.31,0,0,0,0,0,1.15
 60-70,0,0,0.98,0,0,3.93,0,0,0,0,0,0.98
 72-82,0,3.93,0,0,0,2.94,0,0,0,0,0,0.98
 84-94,0,1.06,0,0,1.06,1.06,0,0,0,0,0,0
 96-106,1.09,0,0,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,1.53,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0
