stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,122.73,6.29,0,0,31.47,0,0,0,0,0,0,0,0
 14-21,0,0,6,2,0,7,0,0,0,1,0,0,0,0,0,0,2,3,1,18,0,0,1,1,1,2,0,24,11,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,1.64,0,4.93,0,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,2.42,7.25,0,0,18.53,0,1.61,0.81,2.42,0,0,0.81,0.81,1.61,0.81,0,7.25,4.03,33.84,0,0.81,0.81,0,0,0,0.81,0,11.28,0.81,0,0.81
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0,0,1.15,0,2.3,0,0,0.57,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,4.91,0.98,0,0,0.98,0,0,0,0,0,0,0,1.96,1.96,4.91,0,0,0.98,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,3.93,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,2.12,0,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0,3.19,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,4.37,0,5.46,0,0,0,4.37,1.09,0,3.28,0,0,0,0,1.09,1.09,3.28,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.53,4.6,0.77,1.53,0,0,0,1.53,1.53,0,0.77,0,0,0.77,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
