stage,axial,blastomeres,erythrocytes,eye,glial,immune,iridophores,melanocytes,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,6.57,0,0,0,0,0,0.82
 36-46,0,0,0,0,1.61,0.81,0.81,0,0,0,6.45,0,0,0.81,0,0,0
 48-58,0,0,0.57,1.15,1.72,1.15,4.59,0,0,0,5.16,0,0,1.15,0,0,0
 60-70,0,0,0,2.94,0,6.87,36.32,0,0.98,0,4.91,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,6.87,30.43,0,0,0,6.87,0.98,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,7.43,20.18,0,1.06,1.06,5.31,0,0,0,0,0,0
 96-106,0,0,0,4.37,1.09,7.65,14.21,1.09,1.09,0,1.09,0,0,0,1.09,1.09,1.09
108-118,0,0,0,0,0.77,9.19,19.15,0.77,0,0,1.53,0,0,0,0,0,0
120,0,0,0,1.96,0,19.6,7.84,0,1.96,0,1.96,0,0,0,0,0,0
