stage,blastomeres,epidermis,eye,glial,heart,mesenchyme,muscle,neural,olfactory,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0.82,0,17.24,0,0,5.75,0,0.82
 36-46,0,0,0.81,0,0.81,1.61,0,25.78,0,0,3.22,0,0.81
 48-58,0,0,0.57,0.57,0,2.3,0.57,9.18,0.57,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0,0,2.94,0.98,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,0.98,2.94,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,1.06,0,5.31,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0.77,0.77
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
