stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,5,0,0
 24-34,0,0,0,0,0,0,0,0.82,1.64,0.82,28.73,0,0,0,0,3.28,0,0.82
 36-46,0,0,0,0.81,6.45,0.81,0,0,1.61,0.81,24.17,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,9.18,0,0,0,0.57,0,10.33,0,0,0,0,1.72,0,0.57
 60-70,0,0,0,0,9.82,0,0,0,0,0,10.8,0,0,0,0,0,0,1.96
 72-82,0,0,1.96,0,3.93,0,0.98,0,2.94,0,6.87,0,0.98,0,0,0,0.98,2.94
 84-94,0,0,2.12,0,3.19,0,1.06,0,1.06,1.06,5.31,1.06,0,0,0,1.06,0,5.31
 96-106,0,0,1.09,2.19,1.09,0,1.09,0,0,0,6.56,0,0,0,0,0,0,0
108-118,0,0,2.3,0,1.53,0,0.77,0,0,1.53,10.72,0,0.77,0,0,0,0,1.53
120,0,0,5.88,0,3.92,0,1.96,0,3.92,1.96,11.76,1.96,0,0,0,0,1.96,0
