stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62,1,0,0,0,1,1,3,34,0,0,0,0,0
 24-34,1.64,0,2.46,0,2.46,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0,0,1.64,289.76,17.24,0,0,0,0,0,0,92.76,0,0,0.82,0,0
 36-46,0,0,0,0,21.75,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,1.61,759.75,24.98,0,0,0.81,0,0,0,167.58,0,0,0,0,0
 48-58,0,0,2.87,0,56.81,0,0,0,14.92,0,0,0,0.57,0,0,0,0,5.16,0,0,0.57,880.79,14.92,0.57,0,0,0,0,0,181.32,0,0,0,0,0
 60-70,0.98,0,0.98,1.96,153.12,0,0.98,0,16.69,0,0,0,0,0,0,0,0.98,6.87,0.98,0,1.96,1397.69,19.63,0.98,0,2.94,0,0,0,223.79,0,0.98,0,0,0.98
 72-82,2.94,0,3.93,1.96,195.35,0,0,1.96,29.45,1.96,0,0.98,0,0.98,0,0,0,15.71,0.98,0,0.98,1401.81,48.1,0.98,1.96,1.96,0.98,0,0,127.62,1.96,0,0.98,0,0
 84-94,1.06,0,3.19,0,122.13,0,0,0,23.36,0,1.06,1.06,0,1.06,0,0,0,18.05,0,0,0,643.59,27.61,2.12,0,0,0,0,0,94.52,0,2.12,0,1.06,1.06
 96-106,2.19,0,5.46,1.09,130.05,0,1.09,2.19,26.23,4.37,0,0,0,1.09,0,1.09,0,16.39,0,1.09,0,609.81,36.06,2.19,0,4.37,0,0,0,36.06,0,1.09,1.09,0,0
108-118,1.53,0,5.36,0.77,69.7,0,0,0,16.85,0,0,0,0,0.77,0.77,0,0,7.66,0,0,1.53,626.56,20.68,0.77,0,0.77,0,0,0,20.68,0.77,0,0,0,0
120,3.92,0,7.84,0,72.51,1.96,0,0,17.64,0,0,1.96,0,1.96,0,0,0,7.84,0,0,0,672.21,15.68,0,0,1.96,0,0,0,23.52,0,0,0,0,0
