stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,0,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,15.73,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,34,0,0,1,2,1,7,0,0,7,8,0,0,0
 24-34,0,0,0,0,1.64,9.85,0,0.82,0,0,0,0,0,0,1.64,0,0,0,0,2.46,0,1.64,37.76,0,0,0,0,0,0,0,0.82,2.46,9.85,0.82,0,0
 36-46,0,0,0,0,0,6.45,0,0,0,1.61,0,0,0,0,0.81,0.81,0,0,0,3.22,0.81,2.42,33.03,0,1.61,0,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,1.72,0,20.08,0,0,1.15,5.16,0,0,0.57,0,0.57,0.57,0,0,0,9.75,0,2.87,47.63,0.57,0,0,0,0.57,0,0.57,0.57,0,7.46,0.57,0,0
 60-70,0,0,0,0,0,36.32,0,0.98,0.98,6.87,0,0,0,0,0,0,0,0,0,3.93,0.98,0.98,41.22,0.98,1.96,0,0,0,0,0.98,0,0,8.83,0.98,0,0
 72-82,0,0,0,0,0.98,17.67,0.98,0,0,3.93,0,0,0,0,0.98,0,0,0.98,0,1.96,0.98,1.96,34.36,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0.98,0.98
 84-94,0,0,0,2.12,0,15.93,0,1.06,1.06,2.12,0,0,0,0,1.06,0,0,0,1.06,6.37,0,1.06,19.12,0,0,0,0,4.25,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,4.37,0,0,0,3.28,0,0,0,0,0,0,2.19,0,0,7.65,0,0,22.95,0,1.09,1.09,0,8.74,0,2.19,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0.77,0,5.36,0,0,0,3.06,1.53,0,0,2.3,0.77,0.77,0,1.53,0,6.89,0,0.77,15.32,0,0,0,0,4.6,0,0,0.77,0,0.77,0,1.53,0
120,0,0,0,5.88,0,3.92,0,0,0,5.88,0,0,0,1.96,0,0,0,1.96,0,1.96,0,3.92,11.76,0,0,0,0,5.88,0,0,0,0,0,0,0,0
